ADDRESS LINE 1,CITY,STATE,ZIP CODE,lat,lon
9 W BROAD ST,STAMFORD,CT,06902,41.0554632,-73.54609239999999
225 E BROADWAY SUITE B107,GLENDALE,CA,91205,34.1466389,-118.2531191
705 CAMELIA CT,DESOTO,TX,75115,32.5779848,-96.8869182
101 LIVINGSTON DR BLDG C,SANTA TERESA,NM,88008,31.8456419,-106.6106541
3141 S MILITARY TRL,LAKE WORTH,FL,33463,26.6312526,-80.1136401
709 ANGELITA DR,WESLACO,TX,78599,26.1747817,-97.9977341
57 HOMEGROWN WAY,YULEE,FL,32097,30.6246387,-81.63710329999999
6296 CORPORATE CT,FORT MYERS,FL,33919,26.5596762,-81.88714449999999
6354 1/2 VAN NUYS BLVD,VAN NUYS,CA,91401,34.1859232,-118.4484138
3806 GUNN HWY,TAMPA,FL,33618,28.036988,-82.5080024
127 S BRAND BLVD SUITE 208A,GLENDALE,CA,91204,34.14530800000001,-118.2553716
6 PARKLANE BLVD,DEARBORN,MI,48126,42.324421,-83.2066214
633 E FERNHURST DR,KATY,TX,77450,29.7777362,-95.7750575
100 COMMUNITY HEALTH DR,EUFAULA,OK,74432,35.2873206,-95.58248460000002
387 W IH 10,FORT STOCKTON,TX,79735,30.90554209999999,-102.8802236
12724 GRAN BAY PKWY W,JACKSONVILLE,FL,32258,30.1395695,-81.53191679999999
CARR. 2 KM 171.5,SAN GERMAN,PR,00683,18.1033018,-67.05505389999999
