CCN,ADDRESS LINE 1,CITY,STATE,ZIP CODE,lat,lon,lat_google,lon_google,updated_by_google
058228,8880 BENSON AVE,MONTCLAIR,CA,91763,34.0888984,-117.6809882,,,False
037202,1725 E OSBORN RD,PHOENIX,AZ,85016,33.487182,-112.0448282,,,False
227144,10 PEARL ST,STOUGHTON,MA,02072,42.1251401,-71.1023998,,,False
387067,2075 NE WYATT CT,BEND,OR,97701,44.0713553,-121.2649344,44.0713553,-121.2649344,True
679093,9119 S GESSNER RD,HOUSTON,TX,77074,29.6884629,-95.5312611,,,False
059002,13624 HAWTHORNE BLVD,HAWTHORNE,CA,90250,33.9083274,-118.3522549,,,False
058322,10660 WHITE OAK AVE,GRANADA HILLS,CA,91344,34.2751267,-118.5196663,,,False
107179,1515 HERBERT ST,PORT ORANGE,FL,32129,29.1312857,-81.0237222,,,False
058165,2200 S FREMONT AVE,ALHAMBRA,CA,91803,34.067332,-118.149085,,,False
387148,7632 SW DURHAM RD,TIGARD,OR,97224,45.4031903,-122.756615,,,False
058146,1 RIDGEGATE DR,TEMECULA,CA,92590,33.4956038,-117.1615851,33.4956038,-117.1615851,True
227420,176 EAST MAIN STREET,WESTBOROUGH,MA,01581,42.287477,-71.59666,,,False
227478,29 CRAFTS ST,NEWTON,MA,02458,42.3548137,-71.1999357,,,False
237445,24001 SOUTHFIELD RD,SOUTHFIELD,MI,48075,42.4617682,-83.2204071,,,False
207020,225 GORHAM RD,SOUTH PORTLAND,ME,04106,43.6355279,-70.3246803,,,False
077020,240 KENSINGTON RD,BERLIN,CT,06037,41.594996,-72.790114,41.594996,-72.790114,True
307070,451 AMHERST ST,NASHUA,NH,03063,42.7901351,-71.5170558,,,False
397795,2655 PHILMONT AVE,HUNTINGDON VALLEY,PA,19006,40.1221394,-75.050155,,,False
397797,2100 SCATTERGOOD ST,PHILADELPHIA,PA,19124,40.0131887,-75.069827,,,False
058376,20110 PIONEER BLVD,CERRITOS,CA,90703,33.8476624,-118.0818996,,,False
058411,1272 CENTER COURT DR,COVINA,CA,91724,34.072971,-117.864442,,,False
247161,2746 SUPERIOR DR NW,ROCHESTER,MN,55901,44.0522261,-92.5237082,,,False
557597,18600 MAIN ST,HUNTINGTON BEACH,CA,92648,33.6915804,-117.9922541,,,False
058299,980 ENCHANTED WAY,SIMI VALLEY,CA,93065,34.2850851,-118.7826496,,,False
077225,24 SCOTT ST,HAMDEN,CT,06514,41.3484399,-72.9338264,41.3484399,-72.9338264,True
058351,520 E FOOTHILL BLVD,POMONA,CA,91767,34.1070494,-117.7395816,,,False
557566,2555 E COLORADO BLVD,PASADENA,CA,91107,34.146196,-118.0976982,,,False
398002,510 E MAIN ST,CARNEGIE,PA,15106,40.4121594,-80.0797182,,,False
677876,6713 BROADWAY ST,PEARLAND,TX,77581,29.5463012,-95.2295727,,,False
237279,7870W US HIGHWAY 2,MANISTIQUE,MI,49854,45.9465805,-86.2760938,45.9465805,-86.2760938,True
257097A,2080 S FRONTAGE RD,VICKSBURG,MS,39180,32.3235009,-90.8658724,,,False
058298,1755 HUNTINGTON DR,DUARTE,CA,91010,34.1395404,-117.9673294,,,False
058375,16921 PARTHENIA ST,NORTHRIDGE,CA,91343,34.2285729,-118.501141,,,False
077182,705 NEW BRITAIN AVE,HARTFORD,CT,06106,41.7291079,-72.7071002,41.7291079,-72.7071002,True
237511,34514 DEQUINDRE,STERLING HEIGHTS,MI,48310,42.5459357,-83.0877441,,,False
337140,115 E STEVENS AVE,VALHALLA,NY,10595,41.098191,-73.7724773,,,False
527178,N17W24100 RIVERWOOD DR,WAUKESHA,WI,53188,43.054775,-88.2282495,,,False
457884,10485 EASTEX FWY,BEAUMONT,TX,77708,30.1699486,-94.1849717,,,False
337005,669 CASTLETON AVE,STATEN ISLAND,NY,10301,40.6352854,-74.1037554,,,False
058368,22151 VENTURA BLVD,WOODLAND HILLS,CA,91364,34.1689978,-118.6099143,,,False
507029,731 N CHELAN AVE,WENATCHEE,WA,98801,47.4332807,-120.3209487,,,False
037226,1840 E UNIVERSITY DR,MESA,AZ,85203,33.423041,-111.7915487,,,False
108044,1920 E HALLANDALE BEACH BLVD,HALLANDALE BEACH,FL,33009,25.9856778,-80.1285579,,,False
368071,3245 E LIVINGSTON AVENUE,COLUMBUS,OH,43227,39.946487,-82.909687,,,False
