"CMS Certification Number (CCN)",HHCAHPS Survey Summary Star Rating,HHCAHPS Survey Summary Star Rating Footnote,Star Rating for health team gave care in a professional way,Footnote for Star Rating for gave care in a professional way,Percent of patients who reported that their home health team gave care in a professional way,Footnote for Percent of patients who reported that their home health team gave care in a professional way,Star Rating for health team communicated well with them,Footnote for Star Rating for communicated well with them,Percent of patients who reported that their home health team communicated well with them,Footnote for Percent of patients who reported that their home health team communicated well with them,"Star Rating team discussed medicines, pain, and home safety","Footnote Star Rating discussed medicines, pain, home safety","Percent of patients who reported that their home health team discussed medicines, pain, and home safety with them","Footnote for Percent of patients who reported that their home health team discussed medicines, pain, and home safety with them",Star Rating for how patients rated overall care from agency,Footnote for Star Rating for overall care from agency,"Percent of patients who gave their home health agency a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest)","Footnote for Percent of patients who gave their home health agency a rating of 9 or 10 on a scale from 0(lowest) to 10(highest)","Percent of patients who reported YES, they would definitely recommend the home health agency to friends and family","Footnote for Percent of patients who reported YES, they would definitely recommend the home health agency to friends and family",Number of completed Surveys,Footnote for number of completed surveys,Survey response rate,Footnote for Survey response rate,Footnote Number
107762,2,,1,,82,,2,,76,,1,,64,,2,,75,,62,,155,,9,,
107767,Not Available,11,Not Available,11,98,11,Not Available,11,92,11,Not Available,11,87,11,Not Available,11,93,11,93,11,23,11,13,11,11
107768,3,,3,,87,,4,,88,,3,,79,,3,,88,,85,,94,,23,,
107769,Not Available,9,Not Available,9,100,9,Not Available,9,100,9,Not Available,9,98,9,Not Available,9,97,9,97,9,5,9,22,9,9
107770,Not Available,9,Not Available,9,95,9,Not Available,9,83,9,Not Available,9,70,9,Not Available,9,85,9,84,9,7,9,20,9,9
107772,Not Available,9,Not Available,9,77,9,Not Available,9,76,9,Not Available,9,96,9,Not Available,9,100,9,50,9,3,9,5,9,9
107773,Not Available,9,Not Available,9,91,9,Not Available,9,89,9,Not Available,9,80,9,Not Available,9,76,9,76,9,6,9,17,9,9
107775,3,11,3,11,89,11,2,11,80,11,1,11,63,11,4,11,92,11,83,11,63,11,15,11,11
107776,3,,3,,85,,3,,81,,3,,82,,3,,83,,77,,135,,20,,
107779,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
107780,5,11,5,11,98,11,4,11,89,11,5,11,90,11,5,11,98,11,94,11,58,11,20,11,11
107781,4,,3,,89,,4,,84,,5,,88,,3,,86,,77,,138,,23,,
107785,2,,2,,86,,2,,81,,1,,70,,3,,86,,72,,334,,21,,
107786,4,,5,,93,,5,,91,,2,,78,,4,,89,,87,,191,,22,,
107787,3,,3,,88,,4,,86,,2,,74,,3,,86,,87,,75,,31,,
107789,Not Available,9,Not Available,9,88,9,Not Available,9,84,9,Not Available,9,98,9,Not Available,9,100,9,53,9,2,9,11,9,9
107791,5,,5,,94,,5,,92,,3,,79,,5,,94,,95,,134,,33,,
107792,4,,3,,88,,4,,88,,3,,83,,4,,87,,81,,341,,23,,
107793,Not Available,11,Not Available,11,81,11,Not Available,11,86,11,Not Available,11,69,11,Not Available,11,77,11,84,11,14,11,10,11,11
107797,3,,3,,85,,3,,79,,2,,77,,3,,80,,72,,310,,26,,
108001,5,,5,,96,,5,,94,,5,,93,,5,,96,,89,,87,,33,,
108002,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
108003,3,,3,,86,,4,,86,,2,,78,,3,,81,,75,,128,,31,,
108009,2,11,1,11,81,11,4,11,85,11,1,11,70,11,2,11,75,11,68,11,55,11,22,11,11
108010,4,,3,,89,,4,,83,,4,,85,,3,,88,,83,,75,,22,,
108013,3,,3,,87,,4,,86,,2,,77,,3,,84,,75,,304,,21,,
108014,3,,3,,88,,4,,86,,3,,80,,3,,86,,80,,326,,20,,
108015,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
108019,2,,2,,84,,2,,79,,2,,73,,3,,75,,76,,149,,16,,
108020,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
108021,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
108022,2,11,1,11,81,11,1,11,74,11,2,11,73,11,2,11,70,11,56,11,65,11,21,11,11
108029,4,,4,,92,,5,,90,,4,,85,,4,,90,,84,,115,,24,,
108030,4,,4,,90,,5,,88,,4,,87,,4,,88,,85,,196,,30,,
108031,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
108032,1,11,1,11,80,11,1,11,74,11,1,11,68,11,2,11,81,11,73,11,44,11,14,11,11
108037,3,,2,,87,,4,,87,,3,,80,,3,,84,,80,,111,,20,,
108039,1,,1,,78,,1,,69,,1,,70,,1,,65,,55,,83,,16,,
108040,4,,4,,92,,4,,88,,2,,73,,4,,94,,84,,144,,30,,
108043,3,,3,,88,,4,,84,,2,,78,,3,,87,,76,,332,,36,,
108044,2,11,2,11,82,11,2,11,79,11,1,11,69,11,3,11,86,11,71,11,55,11,14,11,11
108045,3,,2,,84,,3,,80,,3,,79,,3,,80,,70,,323,,24,,
108048,4,,4,,92,,5,,89,,4,,86,,4,,90,,84,,229,,27,,
108049,4,,4,,90,,4,,86,,4,,85,,3,,85,,81,,424,,31,,
108050,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
108052,Not Available,11,Not Available,11,94,11,Not Available,11,98,11,Not Available,11,88,11,Not Available,11,90,11,88,11,33,11,20,11,11
108053,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
108055,3,,3,,89,,4,,85,,3,,82,,3,,85,,71,,102,,37,,
108059,3,,3,,88,,3,,80,,2,,77,,3,,84,,77,,108,,22,,
108060,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
108061,3,,3,,88,,4,,85,,2,,78,,4,,88,,79,,264,,21,,
108063,5,,4,,92,,5,,92,,5,,94,,4,,88,,92,,94,,20,,
108067,3,,4,,89,,4,,89,,3,,82,,2,,80,,72,,144,,21,,
108068,3,,3,,87,,4,,84,,2,,78,,3,,83,,80,,311,,26,,
108069,3,,3,,86,,4,,85,,2,,73,,3,,79,,75,,240,,41,,
108074,Not Available,11,Not Available,11,100,11,Not Available,11,97,11,Not Available,11,95,11,Not Available,11,97,11,97,11,25,11,24,11,11
108075,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
108078,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
108079,Not Available,9,Not Available,9,98,9,Not Available,9,97,9,Not Available,9,97,9,Not Available,9,97,9,94,9,3,9,6,9,9
108081,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
108085,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
108092,Not Available,11,Not Available,11,88,11,Not Available,11,93,11,Not Available,11,69,11,Not Available,11,95,11,75,11,13,11,17,11,11
108093,Not Available,11,Not Available,11,94,11,Not Available,11,95,11,Not Available,11,79,11,Not Available,11,89,11,97,11,23,11,21,11,11
108095,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
108097,Not Available,11,Not Available,11,92,11,Not Available,11,91,11,Not Available,11,74,11,Not Available,11,90,11,77,11,33,11,17,11,11
108105,Not Available,11,Not Available,11,100,11,Not Available,11,100,11,Not Available,11,96,11,Not Available,11,96,11,81,11,15,11,28,11,11
108106,2,,2,,84,,2,,79,,2,,75,,3,,82,,73,,117,,20,,
108107,Not Available,11,Not Available,11,84,11,Not Available,11,74,11,Not Available,11,60,11,Not Available,11,73,11,68,11,36,11,10,11,11
108109,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
108113,3,,3,,85,,4,,84,,2,,72,,3,,81,,70,,166,,28,,
108114,4,,4,,93,,5,,90,,2,,78,,4,,90,,80,,96,,44,,
108117,4,11,4,11,89,11,4,11,81,11,5,11,91,11,3,11,85,11,76,11,45,11,19,11,11
108119,2,,2,,84,,2,,77,,2,,77,,3,,80,,71,,195,,20,,
108120,4,,4,,89,,4,,83,,3,,83,,3,,86,,80,,197,,25,,
108122,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
108124,3,,3,,89,,3,,84,,3,,79,,3,,85,,74,,319,,35,,
108125,3,,2,,85,,3,,81,,2,,72,,3,,81,,64,,93,,13,,
108126,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
108132,2,,1,,82,,1,,75,,1,,68,,3,,84,,71,,121,,20,,
108134,4,11,3,11,90,11,5,11,90,11,3,11,80,11,4,11,90,11,81,11,58,11,31,11,11
108137,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
108138,2,,1,,82,,2,,76,,1,,65,,2,,74,,65,,130,,11,,
108140,Not Available,9,Not Available,9,78,9,Not Available,9,78,9,Not Available,9,77,9,Not Available,9,100,9,100,9,2,9,13,9,9
108146,3,,3,,85,,4,,86,,1,,69,,3,,80,,70,,128,,31,,
108148,4,,4,,89,,5,,88,,4,,84,,4,,88,,79,,260,,23,,
108149,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
108150,Not Available,11,Not Available,11,100,11,Not Available,11,100,11,Not Available,11,96,11,Not Available,11,97,11,97,11,12,11,43,11,11
108152,Not Available,11,Not Available,11,79,11,Not Available,11,86,11,Not Available,11,66,11,Not Available,11,85,11,61,11,18,11,14,11,11
108153,Not Available,11,Not Available,11,95,11,Not Available,11,100,11,Not Available,11,78,11,Not Available,11,97,11,85,11,21,11,23,11,11
108155,4,11,3,11,89,11,5,11,90,11,5,11,88,11,4,11,87,11,83,11,53,11,26,11,11
108162,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
108168,4,,4,,91,,4,,88,,4,,86,,4,,87,,78,,345,,23,,
108169,Not Available,11,Not Available,11,96,11,Not Available,11,88,11,Not Available,11,80,11,Not Available,11,80,11,79,11,20,11,22,11,11
108170,3,,3,,87,,3,,82,,3,,82,,3,,83,,75,,267,,20,,
108171,2,,2,,84,,2,,79,,1,,69,,2,,77,,73,,146,,22,,
108172,4,,4,,91,,5,,90,,3,,82,,4,,92,,87,,347,,38,,
108173,4,,4,,90,,5,,88,,3,,81,,4,,86,,81,,349,,28,,
108175,4,,4,,90,,4,,86,,4,,86,,3,,85,,82,,308,,35,,
108177,Not Available,11,Not Available,11,82,11,Not Available,11,75,11,Not Available,11,73,11,Not Available,11,78,11,65,11,24,11,15,11,11
108178,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
108179,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
108181,3,,3,,87,,4,,86,,3,,83,,3,,87,,85,,204,,43,,
108182,Not Available,9,Not Available,9,98,9,Not Available,9,100,9,Not Available,9,80,9,Not Available,9,100,9,100,9,5,9,14,9,9
108183,4,11,3,11,89,11,5,11,92,11,2,11,76,11,5,11,98,11,87,11,54,11,10,11,11
108194,Not Available,9,Not Available,9,98,9,Not Available,9,87,9,Not Available,9,78,9,Not Available,9,96,9,94,9,8,9,29,9,9
108195,2,,2,,85,,2,,80,,2,,75,,2,,83,,71,,93,,16,,
108196,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
108200,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
108202,Not Available,11,Not Available,11,88,11,Not Available,11,83,11,Not Available,11,88,11,Not Available,11,98,11,91,11,12,11,18,11,11
108203,3,11,3,11,87,11,4,11,88,11,2,11,73,11,3,11,88,11,66,11,50,11,26,11,11
108205,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
108207,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
108211,4,,4,,90,,4,,85,,4,,84,,4,,85,,83,,109,,26,,
108215,4,,4,,90,,4,,84,,3,,81,,3,,86,,72,,138,,20,,
108218,4,11,4,11,92,11,4,11,87,11,5,11,88,11,3,11,79,11,77,11,63,11,21,11,11
108219,Not Available,11,Not Available,11,90,11,Not Available,11,88,11,Not Available,11,88,11,Not Available,11,81,11,79,11,20,11,31,11,11
108220,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
108222,3,,3,,88,,4,,87,,3,,82,,3,,87,,81,,301,,24,,
108223,2,,2,,86,,2,,81,,2,,74,,3,,77,,72,,160,,18,,
108235,3,,3,,88,,4,,87,,3,,80,,3,,85,,79,,198,,30,,
108236,4,,3,,87,,4,,86,,3,,79,,4,,86,,80,,121,,36,,
108240,4,,4,,91,,4,,87,,4,,85,,4,,90,,86,,229,,34,,
108241,4,,4,,92,,5,,88,,1,,68,,4,,88,,73,,79,,16,,
108242,2,11,1,11,83,11,2,11,78,11,2,11,74,11,2,11,71,11,67,11,54,11,22,11,11
108247,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
108248,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
108249,Not Available,11,Not Available,11,89,11,Not Available,11,89,11,Not Available,11,75,11,Not Available,11,90,11,89,11,39,11,23,11,11
108250,Not Available,11,Not Available,11,95,11,Not Available,11,97,11,Not Available,11,93,11,Not Available,11,96,11,91,11,21,11,8,11,11
108253,3,,3,,85,,4,,83,,2,,74,,3,,83,,74,,102,,16,,
108255,Not Available,11,Not Available,11,89,11,Not Available,11,88,11,Not Available,11,76,11,Not Available,11,95,11,87,11,38,11,27,11,11
108257,2,,1,,81,,2,,75,,1,,70,,3,,78,,73,,78,,22,,
108258,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
108261,5,11,5,11,93,11,5,11,90,11,4,11,86,11,4,11,90,11,85,11,67,11,25,11,11
108262,3,,3,,87,,4,,83,,3,,79,,3,,84,,76,,392,,24,,
108265,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
108270,4,,4,,88,,4,,87,,3,,80,,3,,85,,79,,337,,26,,
108272,Not Available,11,Not Available,11,90,11,Not Available,11,85,11,Not Available,11,77,11,Not Available,11,77,11,79,11,26,11,9,11,11
108275,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
108276,Not Available,11,Not Available,11,90,11,Not Available,11,76,11,Not Available,11,85,11,Not Available,11,88,11,93,11,19,11,17,11,11
108277,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
108280,4,,4,,90,,4,,86,,2,,72,,4,,85,,81,,151,,17,,
108284,4,,4,,89,,4,,86,,3,,83,,3,,86,,76,,292,,22,,
108290,3,,3,,86,,3,,81,,2,,75,,3,,83,,72,,381,,23,,
108291,5,11,5,11,94,11,5,11,93,11,3,11,82,11,5,11,93,11,85,11,49,11,20,11,11
108295,Not Available,11,Not Available,11,80,11,Not Available,11,80,11,Not Available,11,89,11,Not Available,11,73,11,70,11,33,11,11,11,11
108302,Not Available,11,Not Available,11,82,11,Not Available,11,75,11,Not Available,11,66,11,Not Available,11,70,11,59,11,18,11,14,11,11
108304,Not Available,11,Not Available,11,87,11,Not Available,11,98,11,Not Available,11,97,11,Not Available,11,95,11,80,11,20,11,38,11,11
108305,3,11,2,11,84,11,3,11,78,11,4,11,85,11,3,11,85,11,74,11,62,11,30,11,11
108307,Not Available,9,Not Available,9,99,9,Not Available,9,91,9,Not Available,9,93,9,Not Available,9,77,9,94,9,8,9,7,9,9
108309,4,,4,,90,,4,,86,,4,,84,,4,,88,,80,,351,,25,,
108312,Not Available,9,Not Available,9,90,9,Not Available,9,100,9,Not Available,9,72,9,Not Available,9,100,9,100,9,6,9,15,9,9
108313,Not Available,9,Not Available,9,100,9,Not Available,9,95,9,Not Available,9,100,9,Not Available,9,100,9,100,9,3,9,16,9,9
108314,Not Available,11,Not Available,11,81,11,Not Available,11,69,11,Not Available,11,67,11,Not Available,11,82,11,48,11,24,11,20,11,11
108315,Not Available,"9,10",Not Available,"9,10",91,"9,10",Not Available,"9,10",92,"9,10",Not Available,"9,10",88,"9,10",Not Available,"9,10",78,"9,10",100,"9,10",7,"9,10",4,"9,10","9,10"
108316,5,,4,,91,,5,,95,,5,,90,,5,,92,,85,,73,,17,,
108318,4,,3,,87,,4,,86,,5,,88,,4,,93,,88,,98,,36,,
108320,3,,3,,88,,3,,83,,2,,73,,3,,83,,71,,155,,24,,
108322,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
108323,Not Available,9,Not Available,9,100,9,Not Available,9,96,9,Not Available,9,100,9,Not Available,9,100,9,100,9,3,9,10,9,9
108324,2,11,4,11,91,11,2,11,78,11,1,11,56,11,2,11,82,11,73,11,61,11,27,11,11
108325,4,11,4,11,90,11,4,11,89,11,2,11,76,11,4,11,89,11,86,11,67,11,11,11,11
108327,Not Available,9,Not Available,9,97,9,Not Available,9,98,9,Not Available,9,83,9,Not Available,9,100,9,100,9,9,9,12,9,9
108330,Not Available,11,Not Available,11,89,11,Not Available,11,87,11,Not Available,11,57,11,Not Available,11,83,11,78,11,20,11,30,11,11
108331,3,,3,,85,,4,,86,,2,,76,,3,,84,,69,,212,,27,,
108334,Not Available,9,Not Available,9,74,9,Not Available,9,64,9,Not Available,9,60,9,Not Available,9,53,9,53,9,9,9,12,9,9
108335,4,,4,,90,,5,,88,,4,,85,,4,,89,,82,,215,,33,,
108339,Not Available,11,Not Available,11,99,11,Not Available,11,96,11,Not Available,11,81,11,Not Available,11,97,11,96,11,19,11,23,11,11
108345,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
108348,5,11,5,11,98,11,5,11,96,11,5,11,90,11,5,11,96,11,82,11,48,11,38,11,11
108359,4,,4,,90,,5,,89,,4,,87,,4,,88,,86,,296,,28,,
108366,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
108370,4,,4,,89,,4,,86,,2,,78,,4,,86,,80,,110,,25,,
108371,3,,2,,85,,2,,77,,3,,79,,3,,82,,70,,155,,16,,
108372,4,,4,,92,,5,,90,,2,,75,,5,,94,,96,,70,,31,,
108375,Not Available,9,Not Available,9,76,9,Not Available,9,77,9,Not Available,9,52,9,Not Available,9,84,9,61,9,10,9,4,9,9
108376,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
108378,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
108379,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
108380,4,,4,,90,,5,,90,,4,,85,,4,,89,,87,,255,,29,,
108384,3,,3,,89,,4,,86,,2,,76,,3,,85,,79,,108,,10,,
108387,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
108388,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
108389,Not Available,9,Not Available,9,92,9,Not Available,9,99,9,Not Available,9,94,9,Not Available,9,93,9,66,9,10,9,18,9,9
108394,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
108398,Not Available,9,Not Available,9,97,9,Not Available,9,95,9,Not Available,9,97,9,Not Available,9,95,9,96,9,1,9,11,9,9
108400,Not Available,9,Not Available,9,100,9,Not Available,9,100,9,Not Available,9,100,9,Not Available,9,100,9,100,9,2,9,3,9,9
108403,Not Available,11,Not Available,11,90,11,Not Available,11,91,11,Not Available,11,82,11,Not Available,11,83,11,66,11,32,11,14,11,11
108406,5,,5,,93,,5,,92,,4,,87,,5,,92,,84,,370,,33,,
108410,4,,4,,88,,4,,88,,5,,88,,3,,85,,74,,196,,33,,
108411,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
108412,Not Available,11,Not Available,11,83,11,Not Available,11,80,11,Not Available,11,83,11,Not Available,11,76,11,79,11,15,11,14,11,11
108415,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
108416,4,,4,,89,,4,,86,,3,,80,,3,,84,,79,,374,,31,,
108420,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
108422,Not Available,11,Not Available,11,93,11,Not Available,11,89,11,Not Available,11,83,11,Not Available,11,89,11,83,11,33,11,27,11,11
108424,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
108428,3,,3,,88,,4,,85,,2,,75,,3,,84,,77,,230,,17,,
108432,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
108434,Not Available,11,Not Available,11,86,11,Not Available,11,80,11,Not Available,11,56,11,Not Available,11,86,11,85,11,15,11,12,11,11
108445,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
108446,Not Available,9,Not Available,9,82,9,Not Available,9,95,9,Not Available,9,84,9,Not Available,9,81,9,83,9,4,9,11,9,9
108448,Not Available,11,Not Available,11,89,11,Not Available,11,84,11,Not Available,11,78,11,Not Available,11,89,11,87,11,21,11,28,11,11
108449,4,,4,,91,,4,,88,,3,,79,,4,,88,,79,,216,,31,,
108450,Not Available,11,Not Available,11,100,11,Not Available,11,99,11,Not Available,11,100,11,Not Available,11,96,11,98,11,31,11,23,11,11
108456,Not Available,9,Not Available,9,88,9,Not Available,9,84,9,Not Available,9,82,9,Not Available,9,92,9,87,9,6,9,10,9,9
108461,3,,4,,91,,4,,83,,2,,75,,3,,84,,81,,223,,18,,
108465,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
108467,4,,4,,90,,4,,85,,3,,81,,3,,85,,75,,146,,22,,
108469,3,,3,,87,,3,,82,,3,,81,,3,,85,,76,,227,,17,,
108473,Not Available,11,Not Available,11,97,11,Not Available,11,99,11,Not Available,11,92,11,Not Available,11,98,11,97,11,12,11,32,11,11
108476,3,11,4,11,90,11,4,11,86,11,2,11,76,11,3,11,87,11,70,11,52,11,28,11,11
108480,3,,3,,87,,3,,84,,3,,79,,3,,83,,76,,283,,25,,
108483,Not Available,9,Not Available,9,11,9,Not Available,9,24,9,Not Available,9,33,9,Not Available,9,0,9,1,9,2,9,6,9,9
108491,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
108498,Not Available,11,Not Available,11,98,11,Not Available,11,91,11,Not Available,11,77,11,Not Available,11,87,11,85,11,16,11,20,11,11
108499,2,,2,,85,,2,,80,,2,,74,,2,,80,,71,,461,,23,,
109002,3,11,4,11,90,11,2,11,82,11,1,11,63,11,3,11,79,11,75,11,44,11,13,11,11
109005,1,11,1,11,81,11,2,11,78,11,1,11,60,11,1,11,83,11,64,11,43,11,7,11,11
109011,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
109013,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
109015,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
