CCN,ADDRESS LINE 1,CITY,STATE,ZIP CODE,lat,lon
559233,7636 N INGRAM AVE,FRESNO,CA,93711,36.8484791,-119.8017246
687133,1870 FOREST HILL BLVD,LAKE CLARKE SHORES,FL,33406,26.6507345,-80.0787562
559160,512 E WILSON AVE,GLENDALE,CA,91206,34.147974,-118.2494571
559301,434 W COLORADO ST,GLENDALE,CA,91204,34.1424459,-118.262155
248158,888 COUNTY RD D WEST STE #104,NEW BRIGHTON,MN,55112,,
077279,40 RICHARDS AVE,NORWALK,CT,06854,41.0922809,-73.4498606
559372,7065 HAYVENHURST AVE,VAN NUYS,CA,91406,,
559416,14545 FRIAR ST,VAN NUYS,CA,91411,34.1857526,-118.4499501
559337,224 E OLIVE AVE,BURBANK,CA,91502,34.1810432,-118.3081757
037496,1533 N ALMA SCHOOL RD,MESA,AZ,85201,33.4435445,-111.8555992
