CCN,ADDRESS LINE 1,CITY,STATE,ZIP CODE,lat,lon
368199,4320 MAYFIELD RD,SOUTH EUCLID,OH,44121,41.520491,-81.5242884
148001,640 E SAINT CHARLES RD,CAROL STREAM,IL,60188,41.8973966,-88.101759
477007,7 ALBERT CREE DR,RUTLAND,VT,05701,43.5990121,-72.9542283
227504,750 W CENTER ST,WEST BRIDGEWATER,MA,02379,42.0106551,-71.052984
307031,101 BOULDER POINT DR,PLYMOUTH,NH,03264,43.7688168,-71.7397583
297170,3017 W CHARLESTON BLVD,LAS VEGAS,NV,89102,36.1587992,-115.1820927
157430,798 N 16TH ST,NEW CASTLE,IN,47362,39.93986,-85.364959
117069,600 CHANDLER ST,HARTWELL,GA,30643,34.3617064,-82.9351639
057497,3250 WILSHIRE BLVD,LOS ANGELES,CA,90010,34.0616212,-118.2934149
059173,650 W DUARTE RD,ARCADIA,CA,91007,34.1263736,-118.0522483
