CCN,ADDRESS LINE 1,CITY,STATE,ZIP CODE,lat,lon
057190,585 N MARY AVE,SUNNYVALE,CA,94085,37.3926074,-122.037923
197194,112 INNWOOD DR,COVINGTON,LA,70433,,
107632,391 COMMERCE PKWY,ROCKLEDGE,FL,32955,28.3110664,-80.718422
679511,7203 ATHLONE DR,HOUSTON,TX,77088,29.865818,-95.463326
167156,613 W MAIN ST,MANCHESTER,IA,52057,42.4840013,-91.4647952
297132,6002 S DURANGO DR,LAS VEGAS,NV,89113,36.1295558,-115.2790635
059069,2161 COLORADO BLVD 205,LOS ANGELES,CA,90041,,
177289,2121 MEADOWLARK RD,MANHATTAN,KS,66502,39.209503,-96.5772675
417006A,51 HEALTH LN,WARWICK,RI,02886,41.7059082,-71.4797188
058037,1601 CARMEN DR,CAMARILLO,CA,93010,34.230885,-119.052173
