CCN,ADDRESS LINE 1,CITY,STATE,ZIP CODE,lat,lon
317064,4914 KENNEDY BLVD W,WEST NEW YORK,NJ,07093,,
559236,1722 H ST,MODESTO,CA,95354,37.6436322,-120.9910633
559681,5530 CORBIN AVE,TARZANA,CA,91356,34.171631,-118.562098
369313,7198 PIPPIN RD,CINCINNATI,OH,45239,,
297252,2920 S JONES BLVD,LAS VEGAS,NV,89146,36.1362651,-115.2245086
227783,435 SHREWSBURY ST,WORCESTER,MA,01604,42.2714657,-71.7744442
297256,5670 W FLAMINGO RD,LAS VEGAS,NV,89103,36.1145817,-115.1806418
559034,4250 PENNSYLVANIA AVE,LA CRESCENTA,CA,91214,34.2227403,-118.2486852
559054,1440 SOUTHGATE AVE,DALY CITY,CA,94015,37.675526,-122.478643
369227,2242 S HAMILTON RD,COLUMBUS,OH,43232,39.9286598,-82.8777085
