CCN,ADDRESS LINE 1,CITY,STATE,ZIP CODE,lat,lon
058180,22041 CLARENDON ST,WOODLAND HILLS,CA,91367,34.1697248,-118.6068135
267002,1300 E 104TH ST,KANSAS CITY,MO,64131,38.93901,-94.5758494
058447,18645 SHERMAN WAY,RESEDA,CA,91335,34.2009777,-118.5399596
058253,801 S GARFIELD AVE,ALHAMBRA,CA,91801,34.087195,-118.123149
058262,9029 RESEDA BLVD,NORTHRIDGE,CA,91324,34.2344685,-118.536422
058217,1109 W SAN BERNARDINO RD,COVINA,CA,91722,34.0893362,-117.9031972
059030,101 SPRING ST,CLAREMONT,CA,91711,34.093018,-117.716755
058255,3452 E FOOTHILL BLVD,PASADENA,CA,91107,34.1500445,-118.0787029
297091,6270 MCLEOD DR 100,LAS VEGAS,NV,89120,,
467025,1492 E RIDGELINE DR,SOUTH OGDEN,UT,84405,,
