CCN,ADDRESS LINE 1,CITY,STATE,ZIP CODE,lat,lon
368190,855 S SUNBURY RD,WESTERVILLE,OH,43081,40.1027432,-82.8884861
109112,12905 SW 42ND ST,MIAMI,FL,33175,25.7300531,-80.4041866
237674,28021 SOUTHFIELD RD,LATHRUP VILLAGE,MI,48076,42.5019575,-83.2225605
747018,2440 TEXAS PKWY,MISSOURI CITY,TX,77489,29.5926805,-95.526688
297109,6236 W DESERT INN RD,LAS VEGAS,NV,89146,36.1301908,-115.1893191
247104,2680 ARTHUR ST,ROSEVILLE,MN,55113,45.0223326,-93.1802729
109077,4345 SW 72 AVE,MIAMI,FL,33155,,
058415,2700 ZANKER RD,SAN JOSE,CA,95134,37.3914081,-121.9256536
059161,12501 CHANDLER BLVD,VALLEY VILLAGE,CA,91607,34.16877,-118.405394
058405,869 LINDAWOOD ST,NEWBURY PARK,CA,91320,34.1795684,-118.9015166
