CCN,ADDRESS LINE 1,CITY,STATE,ZIP CODE,lat,lon
239331,28275 ORCHARD LAKE RD,FARMINGTON HILLS,MI,48334,42.505229,-83.3590423
239327,26645 W 12 MILE RD,SOUTHFIELD,MI,48034,42.5004074,-83.3103977
753144,14328 VICTORY BLVD,VAN NUYS,CA,91401,34.1865807,-118.4450363
227744,370 MAIN ST,WORCESTER,MA,01608,42.2648119,-71.802012
559623,12444 VICTORY BLVD,NORTH HOLLYWOOD,CA,91606,34.1866895,-118.3717418
407330,"CARR 2 KM 26.2, ESPINOSA WARD",DORADO,PR,00646,,
517104,456 SUITE B MARKET PLACE MALL,WESTON,WV,26452,,
047081,103 HOSPITAL DR,MAGNOLIA,AR,71753,33.275009,-93.239909
037810,3906 W INA RD,TUCSON,AZ,85741,,
497791,6225 BRANDON AVE,SPRINGFIELD,VA,22150,38.7836121,-77.1806062
