CCN,ADDRESS LINE 1,CITY,STATE,ZIP CODE,lat,lon
257127,4200 MAMIE ST,HATTIESBURG,MS,39402,31.319744,-89.3498842
108480,7220 BENEVA RD,SARASOTA,FL,34238,27.251206,-82.497676
059171,11434 VANOWEN ST,NORTH HOLLYWOOD,CA,91605,34.1938549,-118.380402
167295,4328 114TH ST,URBANDALE,IA,50322,41.6419377,-93.7752912
217072,2300 DULANEY VALLEY RD,TIMONIUM,MD,21093,39.4594777,-76.5979505
377718,7512 BROADWAY EXT,OKLAHOMA CITY,OK,73116,,
307009,536 COTTAGE ST,LITTLETON,NH,03561,44.2913579,-71.7690164
059200,7851 WALKER ST,LA PALMA,CA,90623,33.8486704,-118.0371541
109480,10516 W FLAGLER ST,MIAMI,FL,33174,25.7684788,-80.3669836
227503,222 MERRIMAC STREET,NEWBURYPORT,MA,01950,42.8163153,-70.8800541
