CCN,ADDRESS LINE 1,CITY,STATE,ZIP CODE,lat,lon
108290,4033 TAMPA RD,OLDSMAR,FL,34677,28.0356834,-82.6541741
368456,306 REICHELDERFER RD,CRIDERSVILLE,OH,45806,40.6520593,-84.1507359
677513,5842 S. STAPLES,CORPUS CHRISTI,TX,78413,27.6954138,-97.3775688
368016,4420 COOPER RD,CINCINNATI,OH,45242,,
327145,408N AUBURN AVE,FARMINGTON,NM,87401,36.7292358,-108.2105941
679106,1016 N INDUSTRIAL BLVD,PILOT POINT,TX,76258,33.4048659,-96.9418166
747804,17330 PRESTON RD,DALLAS,TX,75252,32.9875923,-96.8016928
369001,700 BRYDEN RD,COLUMBUS,OH,43215,39.9607439,-82.9806462
337210,1740 EASTCHESTER RD,BRONX,NY,10461,40.8480023,-73.8437819
747858,222 W FILMORE AVE,HARLINGEN,TX,78550,26.1865568,-97.6970069
