CCN,ADDRESS LINE 1,CITY,STATE,ZIP CODE,lat,lon
059101,225 E BROADWAY,GLENDALE,CA,91205,34.146593,-118.2529685
679752,1700 W GRIFFIN PKWY,MISSION,TX,78572,26.2324685,-98.3433453
109294,9200 S DADELAND BLVD,MIAMI,FL,33156,25.6841862,-80.3166937
557569,5451 LA PALMA AVE,LA PALMA,CA,90623,33.8471637,-118.0389232
377657,316 DEWEY AVE,POTEAU,OK,74953,35.0513406,-94.6207531
058426,4362 AUBURN BLVD,SACRAMENTO,CA,95841,38.6464487,-121.361825
059166,4170 VERDUGO RD,LOS ANGELES,CA,90065,34.1264956,-118.2319123
217156,3120 GRACEFILED ROAD,SILVER SPRINGS,MD,20904,,
743100,1201 NORTH WATSON ROAD,ARLINGTON,TX,76006,32.767348,-97.063585
237743,28592 ORCHARD LAKE RD,FARMINGTON HILLS,MI,48334,42.5061106,-83.3588468
