CCN,ADDRESS LINE 1,CITY,STATE,ZIP CODE,lat,lon
557796,1109 VICENTE ST 103,SAN FRANCISCO,CA,94116,,
747362,112 N DIXON ST,GAINESVILLE,TX,76240,33.62447,-97.1452028
178105,9415 E HARRY ST,WICHITA,KS,67207,37.6645696,-97.2279875
227697,390 MAIN ST,WORCESTER,MA,01608,42.1264726,-71.8635056
227639,33 NAGOG PARK,ACTON,MA,01720,42.5252378,-71.4318216
109787,217 HOWELL AVE,BROOKSVILLE,FL,34601,28.5566804,-82.3877787
227662,599 CANAL ST,LAWRENCE,MA,01840,42.7035479,-71.1661648
679137,15840 FM 529,HOUSTON,TX,77095,29.8802494,-95.5735608
037450,5701 W TALAVI BLVD,GLENDALE,AZ,85306,33.635259,-112.1817734
227647,19B CROSBY DR,BEDFORD,MA,01730,42.5044768,-71.2418797
