CCN,ADDRESS LINE 1,CITY,STATE,ZIP CODE,lat,lon
369049,65 MCMILLEN DR,NEWARK,OH,43055,40.0507349,-82.4526723
467340,640 E 700 S,ST GEORGE,UT,84770,37.096196,-113.5697946
337237,50 CLINTON ST,HEMPSTEAD,NY,11550,40.7088076,-73.6184931
227699,100 EVERETT AVE,CHELSEA,MA,02150,42.3943296,-71.0393908
227594,500 GRANITE AVENUE,MILTON,MA,02186,42.2551839,-71.0389652
037433,1430 E MISSOURI AVE,PHOENIX,AZ,85014,33.5166991,-112.0506924
077243,400 CAPITAL BLVD,ROCKY HILL,CT,06067,,
059594,16501 SHERMAN WAY,VAN NUYS,CA,91406,34.2012661,-118.4689333
747251,3305 S MAYHILL RD,DENTON,TX,76208,33.1795001,-97.0881105
248109,935 KENWOOD AVE,DULUTH,MN,55811,46.8136384,-92.1002668
