CCN,ADDRESS LINE 1,CITY,STATE,ZIP CODE,lat,lon
679281,2301 W LAMAR BLVD,ARLINGTON,TX,76012,32.766835,-97.146629
679191,2500 TEXAS DR,IRVING,TX,75062,32.8397779,-96.9723342
247217,218 N HOLCOMBE AVE,LITCHFIELD,MN,55355,45.1277093,-94.5250871
058228,8880 BENSON AVE,MONTCLAIR,CA,91763,34.0888984,-117.6809882
037202,1725 E OSBORN RD,PHOENIX,AZ,85016,33.487182,-112.0448282
227144,10 PEARL ST,STOUGHTON,MA,02072,42.1251401,-71.1023998
387067,2075 NE WYATT CT,BEND,OR,97701,,
679093,9119 S GESSNER RD,HOUSTON,TX,77074,29.6884629,-95.5312611
059002,13624 HAWTHORNE BLVD,HAWTHORNE,CA,90250,33.9083274,-118.3522549
058322,10660 WHITE OAK AVE,GRANADA HILLS,CA,91344,34.2751267,-118.5196663
