CCN,ADDRESS LINE 1,CITY,STATE,ZIP CODE,lat,lon
748093,8323 TROPHY PLACE DR,HUMBLE,TX,77346,,
687106,10420 SW 77TH AVE,PINECREST,FL,33156,25.6732661,-80.3191329
559596,17703 SATICOY ST,RESEDA,CA,91335,34.2084829,-118.5187946
077268,699 BLOOMFIELD AVE,BLOOMFIELD,CT,06002,,
753133,26000 SPRINGBROOK AVE,SANTA CLARITA,CA,91350,34.4128125,-118.5391558
559498,960 E GREEN ST,PASADENA,CA,91106,34.1444829,-118.1304499
677099,1508 SANTA FE DR,WEATHERFORD,TX,76086,32.7401672,-97.7805281
297272,6785 S EASTERN AVE,LAS VEGAS,NV,89119,36.066895,-115.1186547
687090,3636 UNIVERSITY BLVD S,JACKSONVILLE,FL,32216,30.288382,-81.603059
687095,8771 COLLEGE PKWY,FORT MYERS,FL,33919,,
