CCN,ADDRESS LINE 1,CITY,STATE,ZIP CODE,lat,lon
058238,3345 MICHELSON DR,IRVINE,CA,92612,33.67242,-117.8410298
747806,13154 COIT RD,DALLAS,TX,75240,32.9276833,-96.7692096
227519,400 W CUMMINGS PARK,WOBURN,MA,01801,42.4988807,-71.1233548
053197,14435 HAMLIN ST,VAN NUYS,CA,91401,34.1887497,-118.447336
677027,200 E ARIZONA AVE,SWEETWATER,TX,79556,32.4530775,-100.3974156
077003,8 KEYNOTE DR,VERNON,CT,06066,41.833177,-72.4678648
559112,2171 EL CAMINO REAL,OCEANSIDE,CA,92054,33.1881404,-117.3287165
553121,3200 WILSHIRE BLVD,LOS ANGELES,CA,90010,34.06171,-118.291786
559020,412 W BROADWAY,GLENDALE,CA,91204,34.1465594,-118.2616146
207082,12 SUMMIT ROAD,NORTHEAST HARBOR,ME,04662,44.294006,-68.2905498
