CCN,ADDRESS LINE 1,CITY,STATE,ZIP CODE,lat,lon
427140,500 LAKESHORE PKWY,ROCK HILL,SC,29730,34.9294143,-80.9969439
559544,5311 TOPANGA CANYON BLVD,WOODLAND HILLS,CA,91364,34.166082,-118.6060365
369287,1924 MAPLE AVE,ZANESVILLE,OH,43701,39.9615622,-82.0099846
559394,3532 KATELLA AVE,LOS ALAMITOS,CA,90720,33.802948,-118.0707227
559342,3795 LA CRESCENTA AVE,GLENDALE,CA,91208,34.211301,-118.240086
559110,15705 ARROW HWY,IRWINDALE,CA,91706,34.107073,-117.9370591
559140,1480 COLORADO BLVD,LOS ANGELES,CA,90041,34.139149,-118.197653
559215,363 S PARK AVE,POMONA,CA,91766,34.0562743,-117.7545482
559543,1050 SHAW AVE,CLOVIS,CA,93612,36.8084188,-119.6965235
559185,8285 W SUNSET BLVD,WEST HOLLYWOOD,CA,90046,34.0970025,-118.3699132
