CCN,ADDRESS LINE 1,CITY,STATE,ZIP CODE,lat,lon
559240,232 N LAKE AVE,PASADENA,CA,91101,34.150011,-118.1320712
559530,13758 VICTORY BLVD,VAN NUYS,CA,91401,34.1866684,-118.4463146
507131,15220 32ND AVE S,SEATAC,WA,98188,47.466492,-122.291483
748017,1587 FM 279,BEN WHEELER,TX,75754,32.4457549,-95.704876
559220,2082 NEWBURY RD,NEWBURY PARK,CA,91320,34.1832397,-118.9245532
748021,10777 WESTHEIMER RD,HOUSTON,TX,77042,29.7366669,-95.5664281
687067,5051 CASTELLO DR,NAPLES,FL,34103,,
347336,106 N JOHNSON ST,FUQUAY VARINA,NC,27526,35.5923433,-78.7950765
559335,15643 SHERMAN WAY,VAN NUYS,CA,91406,34.2012661,-118.4689333
148380,3345 N ARLINGTON HEIGHTS RD,ARLINGTON HEIGHTS,IL,60004,42.1362657,-87.9852543
