CCN,ADDRESS LINE 1,CITY,STATE,ZIP CODE,lat,lon
368266,2700 E DUBLIN GRANVILLE RD,COLUMBUS,OH,43231,40.0847265,-82.9457951
059271,6501 FOOTHILL BLVD,TUJUNGA,CA,91042,34.245017,-118.273359
059139,212 N GLENDALE AVE,GLENDALE,CA,91206,34.148429,-118.2462171
109338,11300 4TH ST N,ST PETERSBURG,FL,33716,27.87402,-82.638878
037264,2505 HUALAPAI MOUNTAIN RD,KINGMAN,AZ,86401,35.1916317,-114.0194901
109361,6107 MEMORIAL HWY,TAMPA,FL,33615,27.974086,-82.550283
377048,4401 W MEMORIAL RD,OKLAHOMA CITY,OK,73134,35.610342,-97.600737
297164,8760 S MARYLAND PKWY,LAS VEGAS,NV,89123,36.0305628,-115.1362605
059281,5530 CORBIN AVE,TARZANA,CA,91356,34.171631,-118.562098
109332,5575S SEMORAN BLVD 38,ORLANDO,FL,32822,,
