CCN,ADDRESS LINE 1,CITY,STATE,ZIP CODE,lat,lon
753166,6740 VESPER AVE,VAN NUYS,CA,91405,34.1931684,-118.4508031
748015,1609 WARM SPRINGS DR,ALLEN,TX,75002,33.0894395,-96.6276974
559223,912 S VICTORY BLVD,BURBANK,CA,91502,34.1673661,-118.3085582
527342,1033 N MAYFAIR RD,MILWAUKEE,WI,53226,43.0428196,-88.0474494
559466,14126 SHERMAN WAY,VAN NUYS,CA,91405,34.201114,-118.440762
559327,7335 VAN NUYS BLVD,VAN NUYS,CA,91405,34.2036792,-118.4488593
297269,5600 SPRING MOUNTAIN RD,LAS VEGAS,NV,89146,36.1257028,-115.2380264
368170,7850 W CENTRAL AVE,TOLEDO,OH,43617,41.6743107,-83.7315278
559298,14545 FRIAR ST,VAN NUYS,CA,91411,34.1857526,-118.4499501
559282,8220 KATELLA AVE,STANTON,CA,90680,33.8024216,-117.9889881
