CCN,ADDRESS LINE 1,CITY,STATE,ZIP CODE,lat,lon
748040,301 GILMER ST,SULPHUR SPRINGS,TX,75482,33.1349963,-95.6016022
757715,14547 TITUS ST,PANORAMA CITY,CA,91402,34.219839,-118.4498473
559256,5121 VAN NUYS BLVD,SHERMAN OAKS,CA,91403,34.1636057,-118.448798
559270,7250 VALJEAN AVE,VAN NUYS,CA,91406,,
559369,1545 N VERDUGO RD,GLENDALE,CA,91208,34.1697223,-118.2276615
559269,7502 FOOTHILL BLVD,TUJUNGA,CA,91042,34.2530681,-118.2959775
559273,21032 DEVONSHIRE ST,CHATSWORTH,CA,91311,34.2568806,-118.591837
559465,22543 VENTURA BLVD,WOODLAND HILLS,CA,91364,34.167894,-118.617674
559191,1733 N PALM CANYON DR,PALM SPRINGS,CA,92262,33.8454184,-116.5468522
687122,11820 MIRAMAR PKWY,MIRAMAR,FL,33025,25.9789014,-80.302821
