CCN,ADDRESS LINE 1,CITY,STATE,ZIP CODE,lat,lon
057212,3555 DEER PARK DR,STOCKTON,CA,95219,37.9872458,-121.3527699
059791,15315 MAGNOLIA BLVD,SHERMAN OAKS,CA,91403,34.1649289,-118.4664428
297223,9494 W FLAMINGO RD,LAS VEGAS,NV,89147,36.1145817,-115.1806418
553124,19231 VICTORY BLVD,RESEDA,CA,91335,34.187321,-118.5526419
347254,101 E W T HARRIS BLVD,CHARLOTTE,NC,28262,35.3051997,-80.7479814
369164,3174 MACK RD,FAIRFIELD,OH,45014,39.3118716,-84.5145335
059758,4510 PERALTA BLVD,FREMONT,CA,94536,37.5512027,-122.0108152
227736,155 MAPLE ST,SPRINGFIELD,MA,01105,42.1004364,-72.5789709
553109,6320 VAN NUYS BLVD,VAN NUYS,CA,91401,34.1852305,-118.4486146
059782,2001 W MAGNOLIA BLVD,BURBANK,CA,91506,34.1738176,-118.3299138
