CCN,ADDRESS LINE 1,CITY,STATE,ZIP CODE,lat,lon
753138,6303 OWENSMOUTH AVE,WOODLAND HILLS,CA,91367,34.1789914,-118.6015222
687189,15450 NEW BARN RD,MIAMI LAKES,FL,33014,25.9144866,-80.310424
227770,1613 BLUE HILL AVE,MATTAPAN,MA,02126,42.2690387,-71.0941106
687167,7211 N DALE MABRY HWY,TAMPA,FL,33614,27.9945794,-82.5051905
687318,933 LEE RD,ORLANDO,FL,32810,28.6069618,-81.394331
757080,7414 FOOTHILL BLVD,TUJUNGA,CA,91042,34.2515993,-118.293731
748069,1648 BAYLAND ST,ROUND ROCK,TX,78664,30.5244127,-97.6600207
687229,351 S CYPRESS RD,POMPANO BEACH,FL,33060,26.226451,-80.1233277
748055,1196 OAK HILL LN,MURPHY,TX,75094,33.0361399,-96.5952288
687192,8147 COPERNICUS WAY,TRINITY,FL,34655,,
