CCN,ADDRESS LINE 1,CITY,STATE,ZIP CODE,lat,lon
377574,750 E MAIN ST,TISHOMINGO,OK,73460,34.2307194,-96.6705072
109502,1620 W. OAKLAND PARK BLVD.,OAKLAND PARK,FL,33311,26.1663188,-80.1535678
059304,640 S SUNSET AVE,WEST COVINA,CA,91790,34.0698181,-117.9374179
227027,62 CENTER ST,FAIRHAVEN,MA,02719,41.6366343,-70.9010183
267618,700 NW ARGOSY PKWY,RIVERSIDE,MO,64150,39.16376,-94.617802
297186,6767 W CHARLESTON BLVD,LAS VEGAS,NV,89146,36.1579717,-115.2421719
017089,5788 AL HIGHWAY 157,CULLMAN,AL,35058,34.3203835,-87.0004486
397272,1409 N MARKET ST,BERWICK,PA,18603,41.0671967,-76.2462913
747486,8833 TALTON ST,HOUSTON,TX,77078,29.8440045,-95.2607772
747573,801 E CAMPBELL RD,RICHARDSON,TX,75081,32.9761063,-96.7103708
