CCN,ADDRESS LINE 1,CITY,STATE,ZIP CODE,lat,lon
297191,2821 W HORIZON RIDGE PKWY,HENDERSON,NV,89052,35.9987221,-115.1107676
747762,1216 W VETERANS BLVD,PALMVIEW,TX,78572,,
059354,750 ALFRED NOBEL DR,HERCULES,CA,94547,38.021473,-122.2762545
227556,59 LOWES WAY,LOWELL,MA,01851,42.617644,-71.3218045
267626,219 CLARKSON EXECUTIVE PARK,ELLISVILLE,MO,63011,38.6006301,-90.5865731
227548,73 CEDAR ST,ROXBURY,MA,02119,42.3262748,-71.0917255
387087,585 5TH ST,BROOKINGS,OR,97415,42.0567917,-124.2878754
677545,906 NORTH ST,NACOGDOCHES,TX,75961,31.6110376,-94.6534309
747695,17330 PRESTON RD,DALLAS,TX,75252,32.9875923,-96.8016928
467326,290 W CENTER ST,SPANISH FORK,UT,84660,40.1099154,-111.6595958
