CCN,ADDRESS LINE 1,CITY,STATE,ZIP CODE,lat,lon
757517,11908 VENTURA BLVD,STUDIO CITY,CA,91604,34.1427431,-118.391123
687290,1090 NW 8TH AVE,GAINESVILLE,FL,32601,29.6594965,-82.3360512
757525,5535 BALBOA BLVD,ENCINO,CA,91316,34.1715311,-118.5009137
148410,2720 S RIVER RD,DES PLAINES,IL,60018,42.0035565,-87.8654014
227778,3 COURTHOUSE LN,CHELMSFORD,MA,01824,42.623716,-71.3588067
369375,2876 WESTERVILLE RD,COLUMBUS,OH,43224,40.0244426,-82.9621002
687322,4830 W KENNEDY BLVD,TAMPA,FL,33609,27.9442537,-82.5249241
398374,1811 BETHLEHEM PIKE,FLOURTOWN,PA,19031,40.1092283,-75.213958
687270,3806 GUNN HWY,TAMPA,FL,33618,,
687268,13650 W COLONIAL DR,WINTER GARDEN,FL,34787,28.5498346,-81.5860559
