CCN,ADDRESS LINE 1,CITY,STATE,ZIP CODE,lat,lon
047306,110 E GAINES ST,MONTICELLO,AR,71655,,
527159,231A KEEL CT,STURGEON BAY,WI,54235,44.8075687,-87.3780559
109485,4901 NW 17TH WAY,FORT LAUDERDALE,FL,33309,26.187566,-80.165753
227523,1707 GAR HWY,SWANSEA,MA,02777,41.7576139,-71.2460493
467250,1133 N MAIN ST,LAYTON,UT,84041,,
207051A,43 SOUTH LUBEC ROAD,LUBEC,ME,04652,44.8459807,-66.9993658
527113,239 TROWBRIDGE DR,FOND DU LAC,WI,54937,43.7452587,-88.4780665
109269,8660 COLLEGE PARKWAY,FORT MYERS,FL,33919,,
527184,4639 HAMMERSLEY RD,MADISON,WI,53711,43.038971,-89.4591281
237172,22500 METRO PKWY,CLINTON TOWNSHIP,MI,48035,42.569374,-82.890635
