CCN,ADDRESS LINE 1,CITY,STATE,ZIP CODE,lat,lon
057248,1630 E SHAW AVE,FRESNO,CA,93710,36.8086815,-119.757919
537038,1401 W 5TH ST,SHERIDAN,WY,82801,44.8085645,-106.976096
057609,1544 MARKET ST,REDDING,CA,96001,40.583865,-122.3907422
157145,101 W 61ST AVE,HOBART,IN,46342,41.509174,-87.2602728
059321,2488 TAPO ST,SIMI VALLEY,CA,93063,34.2804248,-118.7088409
337052,1050 W GENESEE ST,SYRACUSE,NY,13204,43.0540415,-76.172409
367662,13815 KINSMAN AVE,CLEVELAND,OH,44120,,
108126,10242 NW 47TH ST,SUNRISE,FL,33351,26.1833548,-80.2860978
127003,1520 LOWER MAIN ST,WAILUKU,HI,96793,20.8939603,-156.4941341
337148,972 BRUSH HOLLOW RD,WESTBURY,NY,11590,40.7730211,-73.5613934
