CCN,ADDRESS LINE 1,CITY,STATE,ZIP CODE,lat,lon
227422,29 NEWBRIDGE WAY,DEDHAM,MA,02026,42.263688,-71.202131
227668,413 NEPONSET AVE,DORCHESTER,MA,02122,42.2860945,-71.0437515
747962,1129 BIRCH RISE RD,RICHMOND,TX,77406,,
227677,140 HIGH ST,SPRINGFIELD,MA,01105,42.105369,-72.5789336
369119,4600 MCAULEY PL,BLUE ASH,OH,45242,39.244592,-84.380562
108170,13925 17TH ST,DADE CITY,FL,33525,28.36045,-82.199982
227635,306 RACE ST,HOLYOKE,MA,01040,42.2004979,-72.6076055
227632,155 MAPLE ST,SPRINGFIELD,MA,01105,42.1004364,-72.5789709
053103,17915 VENTURA BLVD,ENCINO,CA,91316,34.1638011,-118.5224664
227686,54 CUMMINGS PARK,WOBURN,MA,01801,42.4988807,-71.1233548
