CCN,ADDRESS LINE 1,CITY,STATE,ZIP CODE,lat,lon
059165,3314 W BURBANK BLVD,BURBANK,CA,91505,,
107725,1000 RIVERSIDE AVE,JACKSONVILLE,FL,32204,30.3141397,-81.6779846
147416,2300 WARRENVILLE RD,DOWNERS GROVE,IL,60515,41.8071707,-88.0387262
109449,5800 NW 39TH AVE,GAINESVILLE,FL,32606,29.6887284,-82.390085
747296,313 W VILLAGE BLVD,LAREDO,TX,78041,27.5661001,-99.4966901
227510,1778 WASHINGTON ST,STOUGHTON,MA,02072,42.0973375,-71.0952177
059499,1200S DIAMOND BAR BLVD 213,DIAMOND BAR,CA,91765,,
109458,630 N MAITLAND AVE,MAITLAND,FL,32751,28.6336379,-81.3655874
109244,10 FAIRWAY DR,DEERFIELD BEACH,FL,33441,26.3187071,-80.1104734
447131,1101 NEAL ST,COOKEVILLE,TN,38501,36.1451766,-85.4826291
