CCN,ADDRESS LINE 1,CITY,STATE,ZIP CODE,lat,lon
297030,2716 N TENAYA WAY,LAS VEGAS,NV,89128,36.209061,-115.2494793
057755,1155 E MAIN ST,GRASS VALLEY,CA,95945,39.2299745,-121.0492241
109708,7405 NW 57TH ST,LAUDERHILL,FL,33319,,
227517,270 UNION ST,LYNN,MA,01901,42.4651064,-70.9428828
747576,1322 SPACE PARK DRIVE,HOUSTON,TX,77058,29.5468754,-95.0971123
059395,4533 VAN NUYS BLVD,SHERMAN OAKS,CA,91403,34.1538438,-118.4487925
197086,801 N 31ST ST,MONROE,LA,71201,32.530365,-92.089392
457596,"1801 NE MUSTANG DR, PERMIAN REGIONAL",ANDREWS,TX,79714,,
187037,135 N HARGIS AVE,MOREHEAD,KY,40351,38.1809678,-83.4369821
167034,105 S MARSHALL ST,BOONE,IA,50036,42.0564317,-93.8786654
