CCN,ADDRESS LINE 1,CITY,STATE,ZIP CODE,lat,lon
559018,2934 E GARVEY AVE S,WEST COVINA,CA,91791,34.0713063,-117.8828192
553129,4225 VALLEY FAIR ST,SIMI VALLEY,CA,93063,34.2726458,-118.7125904
553135,224 E OLIVE AVE,BURBANK,CA,91502,34.1810432,-118.3081757
553172,16102 HART ST,VAN NUYS,CA,91406,34.1975497,-118.4699519
559117,353 E ANGELENO AVE,BURBANK,CA,91502,34.182109,-118.3058889
297247,726 E SAHARA AVE,LAS VEGAS,NV,89104,36.1441127,-115.1451385
553178,6818 S LA CIENEGA BLVD,INGLEWOOD,CA,90302,33.9785114,-118.3701388
239206,671 E BIG BEAVER RD,TROY,MI,48083,42.5626201,-83.1341104
757103,303 N GLENOAKS BLVD,BURBANK,CA,91502,34.1842738,-118.309187
227542,10 GEORGE ST,LOWELL,MA,01852,42.6420253,-71.3063886
