CCN,ADDRESS LINE 1,CITY,STATE,ZIP CODE,lat,lon
117155,5887 GLENRIDGE DR,ATLANTA,GA,30328,,
369232,6740 HUNTLEY RD,COLUMBUS,OH,43229,40.0949744,-82.9980639
058324,115 E MICHELTORENA ST,SANTA BARBARA,CA,93101,34.4278135,-119.7069855
559007,18333 DOLAN WAY,CANYON COUNTRY,CA,91387,,
103158,2090 PALM BEACH LAKES BLVD,WEST PALM BEACH,FL,33409,26.7140162,-80.0938341
037484,11811 N TATUM BLVD,PHOENIX,AZ,85028,33.5945988,-111.9793786
559053,1200 CALIFORNIA ST,REDLANDS,CA,92374,34.0686085,-117.2255394
197074,425 ASHLEY RIDGE BLVD,SHREVEPORT,LA,71106,32.4181765,-93.7362845
553167,1837 IRON POINT RD,FOLSOM,CA,95630,38.6461528,-121.1395936
559219,520 E WILSON AVE,GLENDALE,CA,91206,34.1480643,-118.2492918
