CCN,ADDRESS LINE 1,CITY,STATE,ZIP CODE,lat,lon
398002,510 E MAIN ST,CARNEGIE,PA,15106,40.4121594,-80.0797182
677876,6713 BROADWAY ST,PEARLAND,TX,77581,29.5463012,-95.2295727
237279,7870W US HIGHWAY 2,MANISTIQUE,MI,49854,,
257097A,2080 S FRONTAGE RD,VICKSBURG,MS,39180,32.3235009,-90.8658724
058298,1755 HUNTINGTON DR,DUARTE,CA,91010,34.1395404,-117.9673294
058375,16921 PARTHENIA ST,NORTHRIDGE,CA,91343,34.2285729,-118.501141
077182,705 NEW BRITAIN AVE,HARTFORD,CT,06106,,
237511,34514 DEQUINDRE,STERLING HEIGHTS,MI,48310,42.5459357,-83.0877441
337140,115 E STEVENS AVE,VALHALLA,NY,10595,41.098191,-73.7724773
527178,N17W24100 RIVERWOOD DR,WAUKESHA,WI,53188,43.054775,-88.2282495
