CCN,ADDRESS LINE 1,CITY,STATE,ZIP CODE,lat,lon
447558,900 CONFERENCE DR,GOODLETTSVILLE,TN,37072,36.323644,-86.701183
217155,8820 WALTHER BLVD,PARKVILLE,MD,21234,39.392188,-76.5082346
157217,328 N 2ND ST,VINCENNES,IN,47591,38.6816511,-87.5293047
058417,9007 ARROW RTE 100,RANCHO CUCAMONGA,CA,91730,,
058484,9221 CORBIN AVE,NORTHRIDGE,CA,91324,34.2378431,-118.562408
167140,910 N EISENHOWER AVE,MASON CITY,IA,50401,43.1555862,-93.2636709
108277,1021 IVES DAIRY RD,MIAMI,FL,33179,25.9651846,-80.181022
459438,2720 E YANDELL DR,EL PASO,TX,79903,31.780899,-106.4632978
197104,660 OAK HARBOR BLVD,SLIDELL,LA,70458,30.2441246,-89.7930808
059132,9269 UTICA AVE,RANCHO CUCAMONGA,CA,91730,34.0851996,-117.5713663
