CCN,ADDRESS LINE 1,CITY,STATE,ZIP CODE,lat,lon
227563,65 WATER ST,WORCESTER,MA,01604,42.2569279,-71.7953287
369062,2857 RIVIERA DR,FAIRLAWN,OH,44333,41.1277655,-81.6121727
248136,2852 ANTHONY LANE SOUTH,ST ANTHONY,MN,55418,45.0186754,-93.2119583
227567,49 PLEASANT ST,LEOMINSTER,MA,01453,42.5242778,-71.7619883
297204,5594 S FORT APACHE RD,LAS VEGAS,NV,89148,36.1298328,-115.2969565
059642,881 ALMA REAL DR T9B,PACIFIC PALISADES,CA,90272,,
059551,7677 OAKPORT ST,OAKLAND,CA,94621,37.7469236,-122.2034515
683114,2336 CLEVELAND AVE,FORT MYERS,FL,33901,26.6340455,-81.8727205
187000,5111 COMMERCE CROSSINGS DR,LOUISVILLE,KY,40229,38.1037961,-85.6799265
237235,1521 W CHISHOLM ST,ALPENA,MI,49707,45.0788468,-83.4521062
