CCN,ADDRESS LINE 1,CITY,STATE,ZIP CODE,lat,lon
377461,4150 S 100TH EAST AVE,TULSA,OK,74146,36.1025386,-95.8661973
237615,1705 WOODLAND DR,SALINE,MI,48176,42.1821847,-83.7879614
057679,10 CONSTITUTION DR,CHICO,CA,95973,39.7716554,-121.8742523
058330,14625 CARMENITA RD,NORWALK,CA,90650,33.8986761,-118.0464949
397051B,4 LIFE MARK DR,SELLERSVILLE,PA,18960,,
679472,8344 E RL THRTN FWY,DALLAS,TX,75228,,
109518,350 CAMINO GARDENS BLVD,BOCA RATON,FL,33432,26.3407622,-80.0931873
557014,245 NEW YORK RANCH RD,JACKSON,CA,95642,38.3565596,-120.7673987
377692,1103 E 13TH ST,GROVE,OK,74344,36.5830881,-94.7624084
557447,5315 TORRANCE BLVD,TORRANCE,CA,90503,33.8375241,-118.3699609
