CCN,ADDRESS LINE 1,CITY,STATE,ZIP CODE,lat,lon
687248,6296 CORPORATE CT,FORT MYERS,FL,33919,,
687251,10014 N DALE MABRY HWY,TAMPA,FL,33618,27.9996693,-82.5052
097082,7600 GEORGIA AVE NW,WASHINGTON,DC,20012,38.98216,-77.0269744
107749,3860 COLONIAL BLVD,FORT MYERS,FL,33966,26.597617,-81.836879
369347,411 WALNUT ST,NEW RICHMOND,OH,45157,38.9523863,-84.2801305
148406,7358 N LINCOLN AVE,LINCOLNWOOD,IL,60712,41.9976978,-87.7191464
148401,2604 DEMPSTER ST,PARK RIDGE,IL,60068,42.0396482,-87.8519676
369364,1900 E DUBLIN GRANVILLE RD,COLUMBUS,OH,43229,40.0869058,-82.967321
757367,511 E HARVARD ST,GLENDALE,CA,91205,34.1445831,-118.2498936
227773,360 W BOYLSTON ST,WEST BOYLSTON,MA,01583,42.3395314,-71.7898238
