CCN,ADDRESS LINE 1,CITY,STATE,ZIP CODE,lat,lon
059187,22148 SHERMAN WAY,CANOGA PARK,CA,91303,34.2009265,-118.6091888
557068,4501 BROADWAY,OAKLAND,CA,94611,37.8336012,-122.2541238
239158,6751 DIXIE HWY,CLARKSTON,MI,48346,,
047083,2843 PRINCE STREET,CONWAY,AR,72034,35.092199,-92.469808
058301,924 BUENA VISTA ST,DUARTE,CA,91010,34.1418332,-117.977447
117023,618 ORANGE ST,MACON,GA,31201,32.8369576,-83.6385932
557012,200 MUIR RD,MARTINEZ,CA,94553,37.9925517,-122.1104255
307013,186 WAUKEWAN ST,MEREDITH,NH,03253,43.6430656,-71.5247685
059147,209E ALAMEDA AVE 203,BURBANK,CA,91502,,
059329,5530 CORBIN AVE,TARZANA,CA,91356,34.171631,-118.562098
