CCN,ADDRESS LINE 1,CITY,STATE,ZIP CODE,lat,lon
247274,125 S MAIN ST,BLUE EARTH,MN,56013,43.6384181,-94.1023733
037253,1400 E SOUTHERN AVE,TEMPE,AZ,85282,33.3938305,-111.9158164
337284,510 S 4TH ST,FULTON,NY,13069,43.314354,-76.4059894
227743,300 CONGRESS ST,QUINCY,MA,02169,42.2345525,-71.0149333
527138,200 SPRING ST,EAU CLAIRE,WI,54703,44.8162,-91.487144
059644,100 TOWER RD,AMERICAN CANYON,CA,94503,,
227590,15 UNION ST 414,LAWRENCE,MA,01840,,
683193,1 FLEET LANDING BLVD,ATLANTIC BEACH,FL,32233,30.3538124,-81.410534
407003,7218 CALLE RAMON POWER,PONCE,PR,00717,18.0047355,-66.6136147
227669,1044 CENTRAL ST,STOUGHTON,MA,02072,42.1351929,-71.1029257
