CCN,ADDRESS LINE 1,CITY,STATE,ZIP CODE,lat,lon
387007,2701 NW VAUGHN ST,PORTLAND,OR,97210,45.5374778,-122.7079451
239087,27680 FRANKLIN RD,SOUTHFIELD,MI,48034,42.4914132,-83.2972465
059120,21800 OXNARD ST,WOODLAND HILLS,CA,91367,34.1786994,-118.6028411
047030,709 E 8TH AVE,PINE BLUFF,AR,71601,34.2217968,-91.9974605
239123,26160 VAN DYKE AVE,CENTER LINE,MI,48015,42.485599,-83.0274302
059257,1711 W TEMPLE ST,LOS ANGELES,CA,90026,34.0694226,-118.2636071
109509,6003 HONORE AVE,SARASOTA,FL,34238,27.2667155,-82.464138
459303,10803 GULFDALE ST,SAN ANTONIO,TX,78216,29.539197,-98.4913252
507034,380 CHASE AVE,WALLA WALLA,WA,99362,,
147088,1501 MCPHERSON AVE,MOUNT VERNON,IL,62864,38.323053,-88.908747
