CCN,ADDRESS LINE 1,CITY,STATE,ZIP CODE,lat,lon
177274A,922 N 5TH ST,LINCOLN,KS,67455,39.0488545,-98.1496122
239292,251 N ROSE ST,KALAMAZOO,MI,49007,42.2930653,-85.5849198
148179,5940 W TOUHY AVE,NILES,IL,60714,42.0120744,-87.7796347
059217,1325N CENTER ST 2A,STOCKTON,CA,95202,,
103186,15190 SW 136TH ST,MIAMI,FL,33196,25.6398547,-80.438617
337439,337 N MAIN ST,NEW CITY,NY,10956,41.1662934,-73.9889008
059273,11700 DUBLIN BLVD,DUBLIN,CA,94568,37.7001375,-121.9425003
059249,2880 ZANKER RD,SAN JOSE,CA,95134,37.3959081,-121.9282788
747410,"2300 WEST WHITE AVENUE, STE 110",MCKINNEY,TX,75071,,
747642,337 OAKS TRAIL,GARLAND,TX,75043,32.8476939,-96.5736168
