CCN,ADDRESS LINE 1,CITY,STATE,ZIP CODE,lat,lon
687026,3636 UNIVERSITY BLVD S,JACKSONVILLE,FL,32216,30.288382,-81.603059
687049,29750 US HIGHWAY 19 N,CLEARWATER,FL,33761,28.0145368,-82.7366422
559437,3857 FOOTHILL BLVD,LA CRESCENTA,CA,91214,34.2288209,-118.2474729
307097,169 DANIEL WEBSTER HWY,NASHUA,NH,03060,42.7208572,-71.4438897
327235,1210 E HISTORIC HIGHWAY 66,GALLUP,NM,87301,35.5296313,-108.7144157
369234,1415 E DUBLIN GRANVILLE RD,COLUMBUS,OH,43229,40.0886874,-83.0233843
559246,1875 OLYMPIC BLVD,WALNUT CREEK,CA,94596,37.8952133,-122.0652658
559123,1145 N CALIFORNIA ST,STOCKTON,CA,95202,37.9652074,-121.2879933
559124,7200 VINELAND AVE,SUN VALLEY,CA,91352,,
757101,10590 MAGNOLIA AVE,RIVERSIDE,CA,92505,33.9085581,-117.4671311
