CCN,ADDRESS LINE 1,CITY,STATE,ZIP CODE,lat,lon
559008,10545 BURBANK BLVD,NORTH HOLLYWOOD,CA,91601,34.1722408,-118.3607369
553117,17620 SHERMAN WAY,VAN NUYS,CA,91406,34.2012661,-118.4689333
377478,3105 S MERIDIAN AVE,OKLAHOMA CITY,OK,73119,35.433348,-97.6011349
377051,5300 N INDEPENDENCE AVE,OKLAHOMA CITY,OK,73112,35.524247,-97.574486
553149,126 S JACKSON ST,GLENDALE,CA,91205,34.1453652,-118.2497709
297226,4412 W CHARLESTON BLVD,LAS VEGAS,NV,89102,36.1588909,-115.2000491
053107,7200 VINELAND AVE,SUN VALLEY,CA,91352,,
327161,1300 N CANAL ST,CARLSBAD,NM,88220,32.439645,-104.228668
553105,805 E BROADWAY,GLENDALE,CA,91205,34.1464027,-118.24541
137132,397 BLUE LAKES BLVD N,TWIN FALLS,ID,83301,42.5688194,-114.4604107
