CCN,ADDRESS LINE 1,CITY,STATE,ZIP CODE,lat,lon
287052,825 CENTENNIAL DR,CHADRON,NE,69337,42.8225405,-103.0142773
347206,729 VINEYARDS XING,LEXINGTON,NC,27295,35.8396294,-80.2848686
377418,1801 W 3RD ST,ELK CITY,OK,73644,35.4137342,-99.4257911
148131,7370 N LINCOLN AVE,LINCOLNWOOD,IL,60712,41.9976978,-87.7191464
109108,4760 E STATE ROAD 64,BRADENTON,FL,34208,,
117062,475 REED RD,DALTON,GA,30720,34.8024245,-84.9738779
317093,3000 ESSEX RD,TINTON FALLS,NJ,07753,40.2247085,-74.090213
147937,1580 N NORTHWEST HWY,PARK RIDGE,IL,60068,42.0344284,-87.8644485
747266,310 E-I30,GARLAND,TX,75043,,
059342,2116 WILSHIRE BLVD,SANTA MONICA,CA,90403,34.0320789,-118.4820322
