"ENROLLMENT ID","ENROLLMENT STATE","PROVIDER TYPE CODE","PROVIDER TYPE TEXT",NPI,"MULTIPLE NPI FLAG",CCN,"ASSOCIATE ID","ORGANIZATION NAME","DOING BUSINESS AS NAME","INCORPORATION DATE","INCORPORATION STATE","ORGANIZATION TYPE STRUCTURE","ORGANIZATION OTHER TYPE TEXT",PROPRIETARY_NONPROFIT,"ADDRESS LINE 1","ADDRESS LINE 2",CITY,STATE,"ZIP CODE","PRACTICE LOCATION TYPE","LOCATION OTHER TYPE TEXT"
O20080227000146,FL,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1770707150,N,109032,9739263930,"ACUTE HOME HEALTHCARE INC.","",2006-10-03,FL,CORPORATION,"",P,"4303 VINELAND ROAD","SUITE F-12",ORLANDO,FL,328117176,"",""
O20080227000233,OH,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1265619761,N,368233,3173607389,"HEARTSPRING HOME HEALTH CARE LLC","",2007-11-09,OH,CORPORATION,"",P,"4700 DUKE DR","STE 135H",MASON,OH,450409507,"",""
O20080227000246,TX,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1205033370,N,747011,4880778091,"CAREPOINT HEALTH INCORPORATED","",2006-11-02,TX,CORPORATION,"",P,"7322 SOUTHWEST FRWY","STE 1138",HOUSTON,TX,770742010,"",""
O20080227000293,IL,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1265635775,N,148069,9931283157,"HOMEHEALTH CONNECT INC","",2006-05-08,IL,CORPORATION,"",P,"2340 S ARLINGTON HEIGHTS RD","STE 420","ARLINGTON HEIGHTS",IL,600054507,"",""
O20080227000353,TX,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1093875858,N,747059,7214011444,"AIMA HEALTH CARE, LLC","AIMA HOME HEALTH",2006-06-30,TX,LLC,"",P,"8305 N LA HOMA RD","STE D",MISSION,TX,785745469,"",""
O20080227000693,TX,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1578760427,N,747128,6901980069,"MED-SOURCE HEALTHCARE SERVICES, INC","",2003-09-10,TX,CORPORATION,"",P,"12926 DAIRY ASHFORD RD","STE 150","SUGAR LAND",TX,774783293,"",""
O20080228000030,TX,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1528281433,N,747049,9830273929,"VICTORY FIVE HEALTHCARE INC","",2007-03-06,TX,CORPORATION,"",P,"2323 W ROCHELLE RD","7 SUITES # B",IRVING,TX,750627050,"",""
O20080228000065,OK,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1093914251,N,377721,4981788072,"INNOVA, LLC","INNOVA HOME HEALTH",2007-01-08,OK,LLC,"",P,"4100 PERIMETER CENTER DRIVE","SUITE 210","OKLAHOMA CITY",OK,731122326,"",""
O20080228000127,OH,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1164621108,N,368224,5193809291,"BLESSED AT HOME LLC","BLESSED AT HOME",2007-09-17,OH,LLC,"",P,"16720 US HIGHWAY 52","","WEST PORTSMOUTH",OH,456638894,"",""
O20080228000191,OH,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1841329869,N,368240,4587748694,"BOUAHOM HEALTH MANAGEMENT INC.","DISTINGUISHED ORTHOPEDIC HOME CARE, INC",2007-03-20,OH,CORPORATION,"",P,"7560 CENTRAL PARKE BLVD","",MASON,OH,450406816,"",""
O20080228000208,TX,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1992907281,N,747258,0840374955,"BORDER SKILLED SERVICES, INC.","",2007-04-03,TX,CORPORATION,"",P,"6425 POLARIS DRIVE","SUITE 11",LAREDO,TX,780411995,"",""
O20080228000497,TX,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1710029236,N,743196,0446334486,"LIVING HOPE HEALTHCARE INC","LIVING HOPE HOME HEALTHCARE",2006-12-05,TX,CORPORATION,"",P,"12550 FUQUA STREET","SUITE 100",HOUSTON,TX,770344600,"",""
O20080228000541,IL,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1235335126,N,148035,1850475898,"COMMUNITY HOME HEALTH CARE INC.","",2006-09-27,IL,CORPORATION,"",P,"109 FAIRFIELD WAY","STE 101",BLOOMINGDALE,IL,601081522,"",""
O20080229000054,IL,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1508065087,N,148031,1759465735,"DEVOTED HEALTH CARE , INC.","",2005-12-15,IL,CORPORATION,"",P,"1580 N. NORTHWEST HWY","SUITE 218","PARK RIDGE",IL,60068,"",""
O20080301000107,CA,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1558381095,N,058111,6002990967,"RAAS, INC.","INNOVATIVE HOME HEALTH CARE",2001-04-30,CA,CORPORATION,"",P,"266 MONTEREY RD","STE E","SOUTH PASADENA",CA,910303558,"HHA BRANCH",""
O20080303000047,TX,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1679691844,N,747136,0840374716,"LIFE HOME HEALTH CARE, INC.","",2007-03-13,TX,CORPORATION,"",P,"1609 DAVENPORT ST","SUITE B",WESLACO,TX,785966543,"",""
O20080303000094,OK,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1053423681,N,377206,6709960677,"GREEN COUNTRY HOME CARE, INC.","",1993-07-01,OK,CORPORATION,"",P,"407 E CHEROKEE AVE","",MCALESTER,OK,745015367,"HHA BRANCH",""
O20080303000170,IL,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1376590521,N,148168,4880778760,"MIDWESTERN HEALTHCARE LTD.","",2005-01-28,IL,CORPORATION,"",P,"129 FAIRFIELD WAY","STE 112",BLOOMINGDALE,IL,601081557,"",""
O20080303000296,TX,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1073713244,N,747094,4284718180,"SUMMY HEALTHLINK CORPORATION","ACCESS HOME HEALTHCARE SERVICES",2006-10-11,TX,CORPORATION,"",P,"5700 LENORE STREET","UNIT A","FORT WORTH",TX,761341216,"",""
O20080303000317,TX,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1780881805,N,747335,5890879696,"JIWEALTH HEALTH SERVICES, INC.","",2007-02-12,TX,CORPORATION,"",P,"7906 SUMMERDALE DR","",ROSENBERG,TX,774694635,"",""
O20080303000506,TX,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1114092947,N,743162,8224112040,"27 HHA, INC","BEYOND FAITH HOMECARE & REHAB OF WICHITA FALLS",2006-10-23,TX,CORPORATION,"",P,"900 8TH ST","STE 425","WICHITA FALLS",TX,763016805,"",""
O20080303000556,FL,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1164612552,N,109169,7719061548,"HARMONY HOMES OF MIAMI, INC","",2006-09-26,FL,CORPORATION,"",P,"2331 SW 82 PLACE","SUITE A",MIAMI,FL,331551252,"",""
O20080303000580,OK,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1245431378,N,377724,4688758410,"ASSURANCE HEALTH CARE SERVICES, LLC","",2006-10-18,OK,LLC,"",P,"4519 S PARK DR","","BROKEN BOW",OK,747285999,"HHA BRANCH",""
O20080303000631,KY,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1427037712,N,187112,0547154650,"OWENSBORO HEALTH, INC","OWENSBORO HEALTH HOME CARE SERVICES",1995-07-14,KY,CORPORATION,"",N,"2816 VEACH RD","STE 303",OWENSBORO,KY,423036297,"",""
O20080304000089,FL,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1609060748,N,109064,0042394827,"PLATINUMONE HOME HEALTH SERVICES","",2006-09-26,FL,LLC,"",P,"5901 NW 151ST ST","STE 107","MIAMI LAKES",FL,330142428,"",""
O20080304000103,IL,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1144411562,N,148063,0941384721,"CHICAGO MIDWEST HOME HEALTH INC.","",2016-05-18,IL,CORPORATION,"",P,"2454 E DEMPSTER ST","STE 151","DES PLAINES",IL,600165315,"",""
O20080304000147,IL,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1114118429,N,148051,9436233228,"TENDER TOUCH HOME HEALTH CARE, INC.","",2006-07-21,IL,CORPORATION,"",P,"7518 TRIPP AVE","",SKOKIE,IL,600763812,"",""
O20080304000326,TX,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1639245202,N,747022,3870678675,"ROYALTY CARE HOME HEALTH SERVICES,INC","",2006-10-31,TX,CORPORATION,"",P,"3000 JOE DIMAGGIO BLVD","STE 13","ROUND ROCK",TX,786653989,"",""
O20080304000495,TX,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1457545451,N,747110,7719062538,"HEALTHY HORIZONS HOMECARE & HOSPICE LLC","HEALTHY HORIZONS HOMECARE LLC",2007-03-27,TX,LLC,"",P,"1006 E 6TH ST","",ALICE,TX,783325016,"HHA BRANCH",""
O20080304000688,IL,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1093741415,N,148032,1355426198,"REGENCY HOME HEALTH CARE, P.C.","",2006-06-30,IL,CORPORATION,"",P,"6060W 95TH ST","","OAK LAWN",IL,604532778,"",""
O20080305000021,IL,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1326233693,N,147993,4880779669,"ADVANCE HOME HEALTH , INC..","",2007-02-03,IL,CORPORATION,"",P,"800 ROOSEVELT RD","BLDG A, STE 212","GLEN ELLYN",IL,601375839,"",""
O20080305000087,AL,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1114927639,N,017091,3375528169,"HALE COUNTY HOSPITAL","HALE COUNTY HOSPITAL HOME HEALTH","","",OTHER,"COUNTY OWNED",N,"1207 STATE ST","UNIT 2",GREENSBORO,AL,367442012,"HHA BRANCH",""
O20080305000211,CO,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1689603482,N,067466,1658288410,"MAXIM HEALTHCARE SERVICES, INC.","",1988-09-02,MD,CORPORATION,"",P,"317W 3RD ST",100,"LA JUNTA",CO,810501465,"",""
O20080305000236,TX,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1104030733,N,747323,2466537162,"RELIANT FIRST HEALTHCARE SERVICES INC","RELIANT HEALTHCARE SERVICES",2006-09-25,TX,CORPORATION,"",P,"811 SOUTH CENTRAL EXPRESSWAY","SUITE 518",RICHARDSON,TX,75080,"HHA BRANCH",""
O20080305000435,CA,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1073727558,N,059363,1456436179,"JB&MM CONSULTING SERVICES LLC","PACIFIC COAST HOME HEALTH SERVICES",2007-06-01,NV,LLC,"",P,"19725 SHERMAN WAY","STE 282",WINNETKA,CA,913063660,"",""
O20080305000488,FL,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1477748614,N,109065,0941385678,"PROVIDENCE HEALTHCARE SERVICES, INC.","",2007-07-07,FL,CORPORATION,"",P,"10250 SW 56TH ST","STE D103",MIAMI,FL,331657065,"HHA BRANCH",""
O20080306000093,OH,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1699886382,N,367571,6406931179,"HALLMARK HOME CARE","",1993-10-20,OH,CORPORATION,"",P,"1220 GAY STREET","",PORTSMOUTH,OH,456623460,"",""
O20080306000204,OH,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1013109560,N,368269,4688760085,"ST. MARY'S MEDICAL CENTER HOME HEALTH SERVICES, LLC","ST. MARYS HOME HEALTH SERVICE",2007-08-14,WV,LLC,"",P,"520 STATE ST","",PROCTORVILLE,OH,456693014,"",""
O20080306000209,CO,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1871996124,N,067063,1658456223,"MOUNT EVANS HOSPICE, INC.","",1980-11-12,CO,CORPORATION,"",N,"3081 BERGEN PEAK DR","",EVERGREEN,CO,804392200,"",""
O20080306000506,CO,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1659540862,N,067476,7810072428,"PRIMARY HOME HEALTH CARE, INC.","",2008-02-21,CO,CORPORATION,"",P,"111 E POLK ST","","COLORADO SPRINGS",CO,809076267,"",""
O20080306000711,FL,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1528283777,N,109153,3870678402,"CARESOUTH HHA HOLDINGS OF TALLAHASSEE, LLC","ENHABIT HOME HEALTH",2007-02-01,FL,LLC,"",P,"20452 CENTRAL AVE W","",BLOUNTSTOWN,FL,324241946,"",""
O20080306000748,CA,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1881873123,N,059066,5395820930,"NOVA HOME HEALTH INC.","",2007-05-15,CA,CORPORATION,"",P,"1551 W 13TH ST","STE 103",UPLAND,CA,917862993,"",""
O20080307000031,LA,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1114003985,N,197456,5890870430,"COMPLETE HOME HEALTH, INC.","",1992-04-13,LA,CORPORATION,"",P,"1753 BERTRAND DR","",LAFAYETTE,LA,705062054,"",""
O20080307000096,TX,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1871705426,N,747210,3173608726,"TYNET HEALTHCARE INC","SENIORS HOME HEALTHCARE SERVICES",2006-08-03,TX,CORPORATION,"",P,"4108 MULBERRY DR","STE 100",CARROLLTON,TX,750101058,"",""
O20080307000141,TN,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1659301737,N,447191,5890739445,"HEALTHFIELD OF TENNESSEE, LLC","CENTERWELL HOME HEALTH","","",LLC,"",P,"115 WINWOOD DR","STE 101",LEBANON,TN,370871343,"",""
O20080307000149,IN,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1013121532,N,157611,5991880452,"NORTHWEST HOME HEALTH CARE, INC.","",2007-03-06,IN,CORPORATION,"",P,"2834 45TH ST.","UNIT 5B",HIGHLAND,IN,463222502,"HHA BRANCH",""
O20080307000155,MI,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1619983376,N,237490,0446335905,"PRECISE HOME CARE SERVICES L.L.C.","",2002-03-15,MI,LLC,"",P,"18940 SCHAEFER HWY","",DETROIT,MI,482351763,"",""
O20080307000175,FL,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1245390541,N,109144,4688759145,"AGRAMONTE HOME CARE CORP","AGRAMONTE HOME CARE CORP",2006-10-26,FL,CORPORATION,"",P,"10691 SW 88ST","STE 311",MIAMI,FL,331761551,"",""
O20080307000197,OH,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1275745754,N,368219,9830274398,"NEW VISION NURSING AND HOME CARE LLC","",2007-06-01,OH,LLC,"",P,"310 PERRY ST","",WAPAKONETA,OH,458952119,"",""
O20080307000388,IL,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1316157522,N,148081,3577648062,"BEST HOME HEALTHCARE NETWORK INC.","",2006-12-06,IL,CORPORATION,"",P,"16860 OAK PARK AVE","STE 102","TINLEY PARK",IL,604772008,"",""
O20080307000446,FL,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1841480480,N,109781,9739286287,"ULTIMATE HOME CARE, INC.","",2006-03-16,FL,CORPORATION,"",P,"2020 NE 163RD ST","SUITE 300","NORTH MIAMI BEACH",FL,331624927,"",""
O20080307000564,TX,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1669642310,N,457899,6608826276,"LINDA MARIE MOTHERWELL","MOTHERWELL HOME HEALTH PROFESSIONALS","","","SOLE PROPRIETOR","",P,"418 WEST MAIN STREET","",NACOGDOCHES,TX,759614814,"",""
O20080308000082,IL,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1811197429,N,148124,3678658119,"ALPHAZETA HEALTHCARE SERVICES LLC","",2006-05-04,IL,LLC,"",P,"5901 N CICERO AVE","STE 105",CHICAGO,IL,606465715,"",""
O20080310000230,OK,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1093938011,N,377734,1254416621,"COMFORT CARE HOME HEALTH, INC.","",2006-07-20,OK,CORPORATION,"",P,"425 W WILSHIRE BLVD","STE A","OKLAHOMA CITY",OK,731167705,"HHA BRANCH",""
O20080310000294,OH,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1366498164,N,367270,8820900798,"ACCENTCARE HOME HEALTH OF CALIFORNIA INC","",1993-02-26,CA,CORPORATION,"",P,"119 S COURT STREET","SUITE A",CIRCLEVILLE,OH,431130657,"",""
O20080310000299,OH,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1043417512,N,368235,9537244918,"LIFETIME HOME HEALTH CARE CORPORATION","",2007-04-19,OH,CORPORATION,"",P,"4371 E BROAD ST","STE 102",COLUMBUS,OH,432131248,"",""
O20080310000302,TX,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1750503173,N,747248,7618052093,"LIFE TOUCH HOME HEALTH SERVICES, LLC.","LIFE TOUCH HOME HEALTH SERVICES",2007-04-26,TX,LLC,"",P,"2215 CORNERSTONE BLVD","",EDINBURG,TX,785398472,"",""
O20080310000348,IN,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1760474670,N,157536,9638063894,"THE METHODIST HOSPITALS INC","METHODIST HOME CARE SERVICES",1941-03-28,IN,CORPORATION,"",N,"303 E 89TH AVE","STE A",MERRILLVILLE,IN,464108126,"HHA BRANCH",""
O20080310000378,IL,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1265630362,N,148128,3971688367,"SACRED HEART HOME HEALTH INC","",2005-09-22,IL,CORPORATION,"",P,"2720 S. RIVER ROAD","SUITE 144","DES PLAINES",IL,600184116,"",""
O20080310000698,CA,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1134306970,N,059059,2264517697,"PREMIER HEALTHCARE SERVICES, LLC","AVEANNA HEALTHCARE",2005-11-07,CA,LLC,"",P,"19191 S VERMONT AVE","STE 160",TORRANCE,CA,905021050,"",""
O20080311000157,TX,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1548319288,N,678499,3678658911,"IMMANUEL HOME HEALTH CARE INC","SIGNATURE HEALTH SERVICES",1995-11-09,TX,CORPORATION,"",P,"606 ROLLINGBROOK DRIVE","STE 2 F",BAYTOWN,TX,775214053,"",""
O20080311000193,IL,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1083756969,N,148048,1456436708,"DELTA HOME HEALTH CARE INC","",2006-08-21,IL,CORPORATION,"",P,"900 JORIE BLVD","SUITE #58","OAK BROOK",IL,605232213,"",""
O20080311000296,GA,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1285682955,N,117041,2264342823,"AMEDISYS GEORGIA, L.L.C.","COOSA VALLEY HOME HEALTH, AN AMEDISYS COMPANY",2002-08-01,GA,LLC,"",P,"800 BROAD ST","STE 202",ROME,GA,301613140,"",""
O20080311000333,TX,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1558564336,N,743174,7012092372,"EAST TEXAS PHC, LLC","PREMIER HOME CARE","","",LLC,"",P,"602 E WHALEY ST","",LONGVIEW,TX,756016525,"",""
O20080311000479,CA,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1386642197,N,058027,5496830770,"ALL-MED HOME HEALTH SERVICES, INC.","",1996-06-12,CA,CORPORATION,"",P,"16661 VENTURA BLVD","STE 503",ENCINO,CA,914361967,"",""
O20080311000657,FL,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1093884223,N,107500,6406931633,"CARETENDERS VISITING SERVICES OF HERNANDO COUNTY, LLC","MEDERI CARETENDERS",2006-10-25,FL,LLC,"",P,"18118 POWELL ROAD","",BROOKSVILLE,FL,346048141,"",""
O20080311000717,CA,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1790786150,N,557746,1254416498,"GOOD LIFE HOME HEALTH CARE SERVICES, INC.","",1995-04-06,CA,CORPORATION,"",P,"2501 COLORADO BLVD","STE G","LOS ANGELES",CA,900411055,"",""
O20080311000772,CA,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1447438734,N,059102,9739264987,"ALLIANT HEALTH SYSTEMS INC","ALLIANT HOME HEALTHCARE SERVICES",2007-08-24,CA,CORPORATION,"",P,"2149 E GARVEY AVE N","STE A4","WEST COVINA",CA,917911508,"HHA BRANCH",""
O20080312000086,TX,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1578647020,N,747092,1557446713,"CALVARY HEALTH CARE, INC.","",2006-05-24,TX,CORPORATION,"",P,"2840 KELLER SPRINGS RD","STE 801",CARROLLTON,TX,750064875,"",""
O20080312000163,TX,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1124213707,N,747021,8921183195,"R & C HEALTHCARE LLC","HARMONYCARES HOME HEALTH",2007-08-08,TX,LLC,"",P,"5414 FREDERICKSBURG RD","STE B100-B","SAN ANTONIO",TX,78229,"",""
O20080312000267,MN,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1104954445,N,247168,9234041997,"RIDGEVIEW MEDICAL CENTER","RIDGEVIEW HOME CARE SERVICES",1999-08-12,MN,OTHER,"NON PROFIT",N,"501 S MAPLE ST","STE 1",WACONIA,MN,553870096,"HHA BRANCH",""
O20080312000270,TX,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1295934388,N,747036,1254416431,"HOME CARE OPTIONS HOUSTON INC","",2006-07-30,TX,CORPORATION,"",P,"2401 WASHINGTON ST","",PEARLAND,TX,775814043,"",""
O20080312000306,MI,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1902082688,N,239018,7113002304,"CARE FIRST HOMECARE, LLC","AXIOM CARES",2008-02-14,MI,LLC,"",P,"12815 NORTHLINE RD","",SOUTHGATE,MI,481951109,"HHA BRANCH",""
O20080312000772,CA,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1922006030,N,058084,5193800233,"HEALING HANDS HOME HEALTHCARE, INC.","",2001-05-01,CA,CORPORATION,"",P,"2525 COLORADO BLVD",D,"LOS ANGELES",CA,900411062,"",""
O20080313000093,LA,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1588755235,N,197483,3779673983,"STAT HOME HEALTH-WEST, LLC","STAT HOME HEALTH WEST","","",LLC,"",P,"1724 HERMAN DUPUIS RD","STE B","BREAUX BRIDGE",LA,705178537,"",""
O20080313000534,MI,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1801064316,N,237796,2567547664,"CARE HOME HEALTH AGENCY, LLC","",2008-02-05,MI,LLC,"",P,"2035 HOGBACK RD","STE 104","ANN ARBOR",MI,481059487,"HHA BRANCH",""
O20080314000172,GA,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1376518118,N,117309,5991616336,"CRISP REGIONAL HOSPITAL INC","CARESOUTH AN AFFILIATE OF CRISP REGIONAL HOSPITAL",1995-04-04,GA,CORPORATION,"",N,"906 5TH STREET NORTH SUITE F6","",CORDELE,GA,310153261,"HHA BRANCH",""
O20080314000384,RI,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1912172974,N,417061,4981789948,"INDEPENDENCE HEALTH SERVICES, LLC","",2007-01-16,RI,LLC,"",P,"433 ELMWOOD AVE","",PROVIDENCE,RI,029071766,"HHA BRANCH",""
O20080315000057,CA,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1750476180,N,557490,0244315240,"UNIQUE HOME HEALTH SERVICES, INC.","INTERIM HEALTHCARE OF PASADENA",1994-07-29,CA,CORPORATION,"",P,"596N LAKE AVE 100","",PASADENA,CA,911011222,"HHA BRANCH",""
O20080317000069,TX,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1326108051,N,747119,0345325247,"PERPETUAL HOME HEALTH LLC","",2006-10-17,TX,LLC,"",P,"4218 COUNTRYHEIGHTS CT","",SPRING,TX,773883073,"",""
O20080317000091,OH,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1053580894,N,369051,0042395949,"ANGELS CARE HOME HEALTH SERVICE, LLC","",2007-05-30,OH,LLC,"",P,"7606 SLATE RIDGE BLVD","",REYNOLDSBURG,OH,430688157,"",""
O20080317000130,OH,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1619088705,N,367548,7719076926,"CARETENDERS OF CLEVELAND, INC.",CARETENDERS,1996-07-09,KY,CORPORATION,"",P,"2604 HUBBARD RD","",MADISON,OH,440572530,"",""
O20080317000450,LA,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1720276389,N,197784,9032294988,"LTD GROUP LLC","VITALCARING GROUP",2007-08-17,LA,LLC,"",P,"1211 N RANGE AVE","STE A","DENHAM SPRINGS",LA,707262428,"",""
O20080318000435,CA,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1811076870,N,557280,1951487867,"DYNAMIC HOME CARE SERVICES INC.","",1987-05-01,CA,CORPORATION,"",P,"14260 VENTURA BLVD 301","","SHERMAN OAKS",CA,914232734,"",""
O20080318000881,CA,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1104885318,N,557478,2466538335,"QUALITY HOME HEALTH CARE, INC.","",1994-03-11,CA,CORPORATION,"",P,"969 S VILLAGE OAKS DRIVE","SUITE 206",COVINA,CA,917240605,"",""
O20080319000669,CA,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1831189034,N,059118,7719063569,"MEDQUEST HEALTH SERVICES, INC.","",2002-03-20,CA,CORPORATION,"",P,"23945 CALABASAS RD","STE 107",CALABASAS,CA,913021503,"",""
O20080320000172,IL,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1285823799,N,148019,8123104890,"FAMILY HOME HEALTH CARE PROFESSIONALS, INC.","",2006-10-03,IL,CORPORATION,"",P,"3924 W DEVON AVE","STE 101C&D",LINCOLNWOOD,IL,607121040,"",""
O20080320000227,TX,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1124216403,N,747109,7618053398,"AMOR HOME HEALTH, LLC","CHOICE HEALTH AT HOME",2022-01-25,TX,LLC,"",P,"5151 FLYNN PKWY","STE 406B","CORPUS CHRISTI",TX,784114318,"",""
O20080320000251,TX,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1558452250,N,747313,0143306829,"HEALTH VISION HOME HEALTH SERVICES INC.","",2006-08-07,TX,CORPORATION,"",P,"10707 FUQUA GLEN LN","",HOUSTON,TX,770752078,"HHA BRANCH",""
O20080321000017,OK,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1326220401,N,377726,4688750326,"PRECISE HOME HEALTH CARE SEVICES LLC","PRECISE HOME HEALTH CARE",2007-10-04,OK,LLC,"",P,"900 E HARTFORD AVE","STE C","PONCA CITY",OK,746012057,"HHA BRANCH",""
O20080321000213,CA,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1831172790,N,557791,9133205891,"ADVANCE HOME HEALTH SERVICES, INC","",1996-05-09,CA,CORPORATION,"",P,"801 W VALLEY BLVD","STE 105",ALHAMBRA,CA,918033256,"HHA BRANCH",""
O20080321000224,CA,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1073605366,N,058144,6204912967,"PROFESSIONAL HOME HEALTH SERVICES, INC.","",2002-01-07,CA,CORPORATION,"",P,"2155 E GARVEY AVE N","STE B-12","WEST COVINA",CA,917911455,"",""
O20080322000004,CA,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1114924057,N,557618,9133205792,"METRO HOME CARE, INC.","",1995-08-04,CA,CORPORATION,"",P,"16800 DEVONSHIRE ST","STE 205","GRANADA HILLS",CA,913447409,"",""
O20080322000005,CA,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1669477121,N,557763,4587740147,"AMICABLE HOMECARE, INC.","",1995-10-16,CA,CORPORATION,"",P,"11829 SOUTH ST","STE 100",CERRITOS,CA,907036828,"HHA BRANCH",""
O20080322000006,CA,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1285637603,N,557773,8123104783,"PROMPTCARE HEALTH SERVICES INC.","",1996-05-06,CA,CORPORATION,"",P,"454 S CENTRAL AVE","",GLENDALE,CA,912044760,"",""
