"ENROLLMENT ID","ENROLLMENT STATE","PROVIDER TYPE CODE","PROVIDER TYPE TEXT",NPI,"MULTIPLE NPI FLAG",CCN,"ASSOCIATE ID","ORGANIZATION NAME","DOING BUSINESS AS NAME","INCORPORATION DATE","INCORPORATION STATE","ORGANIZATION TYPE STRUCTURE","ORGANIZATION OTHER TYPE TEXT",PROPRIETARY_NONPROFIT,"ADDRESS LINE 1","ADDRESS LINE 2",CITY,STATE,"ZIP CODE","PRACTICE LOCATION TYPE","LOCATION OTHER TYPE TEXT"
O20020917000019,CO,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1629094909,N,067418,4486561230,"NURSING AND THERAPY SERVICES OF COLORADO INC","NTSOC INC.",2000-06-19,CO,CORPORATION,"",N,"1130 W WOODMEN RD","","COLORADO SPRINGS",CO,809192726,"",""
O20020921000001,TX,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1568518306,N,679231,5698682490,"BESTCARE HEALTH SERVICES,INC","BESTCARE HEALTH SERVICES",2001-10-24,TX,CORPORATION,"",P,"1408 8TH ST","","WICHITA FALLS",TX,763013105,"",""
O20020921000006,AR,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1376536003,N,047114,0648187450,"JORDAN HOME HEALTH CARE, LLC","ELARA CARING",2002-07-15,TX,LLC,"",P,"4102 JEFFERSON AVE","",TEXARKANA,AR,718541512,"",""
O20020923000021,CO,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1740426063,Y,067056,2860309671,"BAYADA HOME HEALTH CARE, INC.","",1975-01-17,DE,CORPORATION,"",N,"1325 S COLORADO BLVD","BUILDING B, SUITE 507",DENVER,CO,80222,"",""
O20020923000025,CA,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1821149196,N,058013,9739096546,"ARPI, INC.","ARPI, INC HOME HEALTH CARE SERVICES",1996-05-09,CA,CORPORATION,"",P,"206 N JACKSON ST","STE 100",GLENDALE,CA,912064330,"",""
O20020924000000,TX,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1922091651,N,457015,0648187450,"JORDAN HOME HEALTH CARE, LLC","ELARA CARING",2002-07-15,TX,LLC,"",P,"3505 SUMMERHILL RD","STE 8",TEXARKANA,TX,755033596,"",""
O20020924000020,CA,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1467631887,N,058118,2769399476,"A-1 HOME HEALTH SERVICES, INC.","A-1 HOME HEALTH SERVICES, INC.",2000-04-21,CA,CORPORATION,"",P,"1407 KUEHNER DR","","SIMI VALLEY",CA,930634478,"",""
O20020925000029,PA,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1215967468,N,397012A,1052228780,"MAIN LINE HEALTH HOMECARE AND HOSPICE","MAIN LINE HEALTH HOMECARE & HOSPICE-HOME HEALTH",1984-02-28,PA,CORPORATION,"",N,"240 N RADNOR CHESTER RD","STE 100",RADNOR,PA,190872121,"HHA BRANCH",""
O20020927000015,CA,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1215936166,N,058124,0345157004,"PRECIOUS HOME HEALTH SERVICES, INC","",2001-11-28,CA,CORPORATION,"",P,"18780 AMAR RD","STE 104",WALNUT,CA,917894558,"",""
O20020928000005,CA,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1902007255,N,058042,8426965187,"CAPITAL HOME HEALTH AGENCY, INC.","",1998-08-25,CA,CORPORATION,"",P,"5751 W ADAMS BLVD","","LOS ANGELES",CA,900162440,"HHA BRANCH",""
O20020930000020,CA,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1821043332,N,058210,1052228723,"CRYSTAL HOME HEALTH CARE SERVICES,INC.","",2002-07-23,CA,CORPORATION,"",P,"3939 ATLANTIC AVE 202","","LONG BEACH",CA,908073531,"HHA BRANCH",""
O20021001000014,CA,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1548296858,N,058116,5597672287,"CARE UNLIMITED HEALTH SERVICES,INC.","",2001-07-24,CA,CORPORATION,"",P,"1025 W ARROW HWY","STE 105",GLENDORA,CA,917405407,"",""
O20021002000008,CA,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1013916063,N,058127,5799692497,"FOUNTAIN HOME HEALTH INC","FOUNTAIN HOME HEALTH, INC.",2001-11-16,CA,CORPORATION,"",P,"4430 FOUNTAIN AVE","STE 4","LOS ANGELES",CA,900292005,"",""
O20021004000030,CA,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1447318092,N,058113,8325955933,"LORIAN HOME SYSTEMS, INC","LORIAN HEALTH",2001-12-20,CA,CORPORATION,"",P,"9325 SKY PARK CT","STE 310","SAN DIEGO",CA,921234368,"",""
O20021004000031,CA,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1730184722,N,058107,0143137752,"PARTNERS HOME HEALTH CARE, INC.","",2011-07-11,CA,CORPORATION,"",P,"211 W FOOTHILL BLVD","STE C",GLENDORA,CA,917413357,"",""
O20021007000015,PA,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1760471551,N,397092A,4880501402,"WARREN GENERAL HOSPITAL","HOSPITAL HOME CARE",1898-03-28,PA,CORPORATION,"",N,"2 CRESCENT PARK W","HOSPITAL HOME CARE SERVICES",WARREN,PA,163652111,"",""
O20021008000033,TN,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1093744815,N,447495,7618884529,"CENTERWELL CERTIFIED HEALTHCARE CORP","CENTERWELL HOME HEALTH",1983-04-19,DE,CORPORATION,"",P,"5751 CORNELISON RD","BLDG 6400, STE 100B",CHATTANOOGA,TN,374115661,"",""
O20021010000021,CA,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1528040284,N,058172,9739096306,"MC HOME HEALTH SERVICES, INC","",2012-08-20,CA,CORPORATION,"",P,"18800 AMAR RD B5","",WALNUT,CA,917897100,"",""
O20021014000009,PA,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1386645323,N,397002,0547178147,"VISITING NURSE ASSOCIATION OF SAINT LUKES HOME HEALTH/HOSPICE INC.","ST. LUKE'S HOME HEALTH",1931-11-30,PA,CORPORATION,"",N,"240 UNION STATION PLZ","",BETHLEHEM,PA,180151281,"",""
O20021015000016,CA,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1720060593,N,058100,9739097338,"G.T.S. HOME HEALTH SERVICES INC.","GTS. HOME HEALTH SERVICES",2000-04-01,CA,CORPORATION,"",P,"13363 SATICOY ST","STE 101","N HOLLYWOOD",CA,916053427,"HHA BRANCH",""
O20021015000017,CA,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1548257108,N,058167,0648188243,"HEALTHCARE SOLUTIONS SERVICES, INC.","",2002-05-03,CA,CORPORATION,"",P,"265 S RANDOLPH AVE","STE 280",BREA,CA,928215771,"",""
O20021015000018,CA,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1124006051,N,058244,1557279155,"SUN-TRIUNE HEALTHCARE INC","",2002-06-18,CA,CORPORATION,"",P,"3055 WILSHIRE BLVD","STE 890","LOS ANGELES",CA,900101137,"HHA BRANCH",""
O20021016000020,IL,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1881645125,N,147481,0143138644,"PRESENCE HOME CARE","PRESENCE HOME CARE-JOLIET",2002-04-26,IL,CORPORATION,"",N,"50 UNO CIR","STE EAST",JOLIET,IL,604358159,"",""
O20021018000016,CA,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1750336525,N,058181,5193633725,"VANURA HOMEHEALTH SERVICES, INC.","",2001-07-18,CA,CORPORATION,"",P,"8213 ROCHESTER AVE","","RANCHO CUCAMONGA",CA,917300739,"",""
O20021021000015,MA,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1417934654,N,227475,6103734744,"MEDICAL RESOURCES HOME HEALTH CORP","ELARA CARING",2002-06-24,DE,CORPORATION,"",P,"320 NEVADA ST","STE 402",NEWTON,MA,024601435,"",""
